"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Frederikssund";165331;168281;177055;185364;193143;202460;206326;216909;225757;237553;242578;246596;253755;263711;274570;287370;288630;286781;292462;296106;301100;305826;309466;316831;321779;326487;333896;341632;359533;371448;375203;393935;411179
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Furesø";207175;204798;218208;227734;234332;245300;257555;265236;284514;294951;297233;302130;306739;318246;332692;347257;350260;346202;367543;366142;377997;383702;393506;398031;407246;417711;425765;441619;453142;476753;472637;512040;538352
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Gribskov";163677;165970;176644;183020;189438;197338;207489;215680;224091;234938;239606;244161;251144;261608;272488;288008;285712;280767;291188;295048;304949;304416;313277;317617;321353;327821;331070;340353;360873;374955;375897;395416;418697
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Halsnæs";151796;152896;162174;169157;175640;181808;189159;197004;205260;213083;220009;223505;230221;240098;249704;259693;265339;262503;269425;272706;277915;283520;288228;294684;298035;306545;311758;317475;334290;344709;343759;362168;381754
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Helsingør";165917;168376;177560;185110;192477;199085;210456;220166;231943;237969;262596;250531;256479;268869;277291;297878;293493;288924;301507;303564;309867;319700;325160;334411;337931;345074;351300;364897;383629;403329;396992;424428;450951
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Hillerød";176369;179225;190395;196630;203792;213348;223324;233188;244242;254756;263012;265039;273483;285977;294206;307165;310630;307356;321529;321930;329644;332711;337795;355401;354720;359956;364791;375970;392617;409570;411800;432384;460597
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Hørsholm";234254;251344;249200;276546;277434;298933;314650;331280;358623;361985;363258;360004;374054;395126;422768;456238;419282;401089;462342;454837;463811;477084;483719;504636;509251;536729;522378;552971;594608;603162;586706;622801;669949
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Rudersdal";237720;239218;236149;258547;271604;285910;305630;319233;353356;357282;365338;364471;381498;402617;430171;439930;420156;397116;454763;452464;475594;496260;517457;534903;553901;559648;563994;619415;627306;676338;638024;704030;792373
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Bornholm";135208;138160;148295;153031;157091;161721;167353;172872;180018;187360;191492;195734;202989;209682;218376;224673;229888;229745;240996;243998;249829;252056;256319;262203;268743;276940;279541;291198;300997;311242;311362;326444;343939
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Greve";184329;187371;195623;203390;210746;219764;229622;237779;249325;259170;264630;267595;274277;283675;292998;311442;310629;302682;312940;315484;319768;324892;329628;334804;340228;348180;352836;360347;378532;391201;389332;416533;431772
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Køge";162079;165111;175066;182091;189205;196919;205433;213604;223378;231731;237450;242125;249247;257085;267274;279334;282405;278066;285894;290079;295442;297988;305297;311097;315336;323238;329991;339180;360945;371144;371967;395168;416634
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Lejre";174616;178921;186909;195706;204544;212263;220929;230051;241805;251833;256796;261910;267858;278898;289810;298882;302333;298918;314017;315855;322116;327424;329252;337277;342653;351357;359999;366862;381395;397764;397523;416259;438869
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Roskilde";173378;176491;186252;195011;201621;210419;220271;229521;239902;250687;256285;259908;267324;276973;288877;302285;304945;302567;313076;315354;322039;324935;333567;342134;347629;355919;363744;377376;395458;412543;411307;441257;467344
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Solrød";187450;199567;202392;210893;219763;226524;238625;248096;260778;271478;277070;282193;288393;300043;311933;333108;327617;314106;328865;332781;339853;339966;354050;364750;376092;379057;385276;409689;423487;439504;431338;460524;482312
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Faxe";149970;152572;162060;169095;176220;183245;192312;198360;206367;216199;222381;226485;232958;241508;251959;265586;266595;261875;270878;273599;281111;281559;285715;290296;295032;301658;307816;316447;334636;343483;347278;363176;377934
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Guldborgsund";136759;139897;148886;154834;160776;165704;171565;177222;184839;192097;196841;201403;207652;215307;226528;233622;237744;237465;246530;244152;253030;259687;261926;267372;270912;276056;280318;289707;306253;320875;321340;336110;352418
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Holbæk";151580;153569;164987;171705;177548;184081;192343;200013;208526;217191;223602;228539;235946;245235;255061;265893;267692;266021;275258;278393;284954;289642;293608;302431;304858;312477;318086;327589;344437;361563;362477;381994;400079
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Kalundborg";148490;151126;161739;168539;172780;179661;186642;191896;201153;209775;214907;218666;225907;234168;246038;257418;253997;255358;263780;267457;273016;278071;282296;292268;295784;299022;303876;313234;325201;339870;345014;371673;393184
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Lolland";132992;135187;144867;149535;154149;158830;164820;168030;175348;182851;188900;192641;198923;206089;213902;219769;225811;227468;234445;237375;243332;249599;254899;256398;259690;264422;267173;276923;288817;303701;306887;320551;337592
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Næstved";147806;150479;161144;168129;173708;180209;188110;194596;202878;211056;216736;221687;228464;237116;247007;260530;260133;259345;266782;271004;276502;280006;283174;288941;293169;301020;305561;315629;332115;345928;344724;361631;379740
"Alle";"I alt";"Gennemsnit for personer i gruppen (kr.)";"Odsherred";142715;145773;155935;161061;166750;172649;178336;184083;191328;197768;203763;209987;215722;223434;233162;245661;243182;241755;249568;252743;258857;263214;267571;271584;274771;281363;285351;294814;308823;321181;323658;340126;357018
