"I alt";"Alder i alt";"I alt";"Hvidovre";49380;49284;49269;49322;49366;49413;49428;49556;49724;49831;49851;50028;50081;50222;50297;50485;50600;50871;50960;51270;51341;51509;51609;51786;51842;52027;52047;52264;52380;52493;52538;52857;52831;52971;52918;53064;52964;53095;53074;53254;53282;53405;53480;53498;53416;53487;53529;53534;53527;53472;53422;53448;53451;53329;53247;53277;53267;53223;53324;53474;53443;53549;53625;53773;53760;53785;53803;53759;53760;53757;53973;54155;54228
"I alt";"Alder i alt";"I alt";"Høje-Taastrup";47158;47225;47269;47348;47400;47461;47528;47697;47664;47563;47603;47671;47753;47864;47881;48090;48081;48114;48243;48384;48471;48513;48667;48773;48807;48853;48982;49151;49230;49463;49560;49821;49960;50134;50139;50252;50246;50332;50401;50514;50596;50639;50676;50718;50686;50801;50853;50964;50759;50829;50923;51238;51729;52212;52504;52702;53053;53538;54192;54648;55258;55895;56300;57079;57540;57941;58465;59005;59059;59356;59626;60100;60458
"I alt";"Alder i alt";"I alt";"Ishøj";20687;20678;20665;20753;20756;20747;20778;20681;20606;20643;20759;20715;20797;20978;21013;21103;21087;21111;21110;21080;21131;21212;21267;21439;21547;21675;21761;21904;22025;22110;22193;22284;22358;22399;22536;22679;22719;22821;22906;22894;22988;22996;23011;22989;22946;22949;22988;22954;22989;22928;23018;23059;23131;23090;23055;23131;23225;23293;23317;23487;23457;23653;23643;23650;23663;23727;23791;24169;24365;24406;24384;24541;24685
"I alt";"Alder i alt";"I alt";"Lyngby-Taarbæk";51449;51508;51437;51794;51532;51588;51532;52071;52237;52364;52277;52781;52754;52883;52807;53140;53251;53357;53386;53761;53840;54008;53862;54279;54237;54454;54401;54776;54778;54713;54713;55091;55097;55299;55111;55396;55240;55409;55211;55757;55472;55566;55461;55850;55790;56058;56088;56483;56214;56209;56046;56624;56614;56933;57072;57834;57826;58017;58075;58457;58434;58480;58365;58752;58538;58593;58530;58938;58713;58665;58406;58674;58614
"I alt";"Alder i alt";"I alt";"Rødovre";36144;36163;36126;36128;36228;36267;36266;36213;36233;36240;36277;36469;36524;36569;36620;36785;36883;36920;37106;37329;37351;37310;37280;37529;37552;37540;37589;37637;37743;37753;37724;37864;38002;38093;38186;38322;38492;38556;38686;39107;39343;39491;39590;39887;40052;40213;40478;40684;40652;40634;40848;41025;41113;41195;41217;41219;41382;41478;41649;42408;42563;43107;43594;43925;44328;44512;44637;44646;44734;44897;44999;45074;45138
"I alt";"Alder i alt";"I alt";"Vallensbæk";12399;12710;12900;13193;13365;13508;13639;13868;14045;14162;14283;14378;14445;14444;14526;14592;14565;14603;14644;14699;14797;14839;14874;15059;15095;15103;15103;15192;15204;15203;15317;15402;15419;15484;15556;15643;15705;15727;15872;16031;16280;16447;16532;16642;16654;16649;16671;16646;16633;16565;16510;16483;16515;16545;16540;16501;16488;16521;16668;16855;17031;17200;17500;17750;17800;17884;17960;18155;18322;18406;18522;18579;18689
"I alt";"Alder i alt";"I alt";"Allerød";23493;23515;23650;23775;23821;23876;23943;24047;24089;24131;24169;24094;24096;24064;24105;24045;24043;24047;24058;24121;24073;24048;24082;24115;24175;24201;24250;24293;24411;24459;24551;24633;24732;24809;24828;24925;24942;25036;25161;25236;25235;25303;25427;25544;25646;25697;25729;25673;25633;25633;25637;25871;25893;25878;25929;25882;25867;25876;26008;26039;26061;26016;26006;25955;25962;25977;25977;26046;26128;26220;26440;26495;26496
"I alt";"Alder i alt";"I alt";"Egedal";40533;40733;40900;40983;41031;41021;41187;41428;41513;41584;41588;41576;41614;41690;41765;41799;41821;41816;41908;42017;42018;42027;42141;42241;42210;42297;42441;42546;42573;42607;42672;42743;42773;42770;42907;42915;43082;43020;43058;43006;43000;43063;43129;43267;43335;43339;43383;43446;43354;43376;43424;43471;43696;43676;44109;44226;44375;44531;44893;45032;45202;45303;45384;45519;45532;45556;45547;45514;45563;45694;45813;45968;46240
"I alt";"Alder i alt";"I alt";"Fredensborg";39240;39148;39214;39293;39254;39260;39265;39243;39226;39147;39188;39314;39341;39424;39495;39514;39565;39506;39554;39539;39462;39424;39456;39549;39585;39551;39701;39810;39772;39897;39952;40036;40112;40110;40223;40470;40504;40554;40558;40778;40779;40783;40812;40764;40819;40854;40867;40821;40865;40866;40971;40980;40998;41047;41087;41152;41211;41337;41644;41713;41689;41721;41820;41805;42009;41995;42042;42108;42186;42284;42370;42401;42445
"I alt";"Alder i alt";"I alt";"Frederikssund";44102;44150;44245;44271;44246;44206;44314;44239;44182;44197;44380;44369;44307;44256;44422;44371;44345;44324;44467;44401;44365;44282;44381;44455;44401;44341;44555;44512;44413;44514;44709;44796;44725;44767;44909;45030;45036;45079;45195;45162;45189;45176;45272;45373;45332;45360;45370;45276;45223;45327;45425;45489;45439;45619;45807;45842;45800;45905;46213;46263;46117;46219;46288;46322;46358;46645;46856;47021;47052;47169;47298;47472;47450
"I alt";"Alder i alt";"I alt";"Furesø";37667;37753;37810;37760;37864;38018;38158;38252;38232;38221;38238;38284;38286;38269;38382;38221;38243;38174;38177;38172;38236;38191;38241;38348;38492;38589;38670;38867;39077;39259;39636;39934;40156;40325;40486;40604;40613;40575;40603;40798;40911;40944;40961;40924;41069;41120;41159;41133;40965;40973;41011;40955;41001;40950;41185;41360;41402;41577;41794;41913;42077;42146;42300;42447;42533;42441;42553;42502;42540;42571;42618;42744;42874
"I alt";"Alder i alt";"I alt";"Gribskov";40512;40568;40662;40686;40627;40639;40776;40786;40694;40753;40843;40744;40700;40616;40684;40607;40603;40609;40722;40695;40655;40671;40784;40847;40778;40850;40968;40875;40855;40839;41078;41170;41107;41135;41239;41280;41213;41155;41303;41269;41217;41209;41299;41280;41195;41184;41262;41170;41048;41084;41135;41110;40971;41032;41219;41228;41147;41269;41576;41622;41547;41808;41937;42014;41920;41817;41958;41945;41797;41811;41903;41918;41787
"I alt";"Alder i alt";"I alt";"Halsnæs";30824;30767;30926;31012;31013;31043;31131;31114;31077;31042;31125;31082;31056;31060;31150;31068;30980;30873;30904;30827;30803;30725;30821;30675;30647;30644;30750;30744;30736;30743;30915;31002;31049;31069;31180;31159;31162;31202;31293;31315;31168;31247;31338;31378;31271;31277;31395;31495;31384;31475;31537;31518;31420;31450;31438;31465;31344;31433;31607;31598;31466;31492;31516;31530;31515;31604;31632;31655;31633;31688;31731;31697;31738
"I alt";"Alder i alt";"I alt";"Helsingør";60844;60832;60839;60921;61053;60933;61121;61178;61143;61287;61300;61367;61368;61287;61359;61428;61493;61585;61699;61629;61613;61561;61564;61551;61519;61538;61658;61660;61632;61780;61964;62093;62092;62188;62442;62554;62443;62531;62620;62676;62686;62657;62663;62661;62567;62610;62664;62709;62695;62816;62966;63047;63000;63063;63158;63097;62875;62947;63242;63420;63399;63471;63675;63796;63838;63888;64016;64021;63953;64041;64176;64233;64244
"I alt";"Alder i alt";"I alt";"Hillerød";46568;46607;46771;46937;47081;47118;47240;47339;47473;47602;47683;47803;47916;47986;48104;48232;48203;48264;48214;48285;48315;48254;48344;48496;48695;48728;48796;48944;49108;49270;49407;49546;49672;49711;49903;50050;50109;50262;50340;50351;50650;50636;50835;50874;50998;51150;51222;51203;51183;51176;51234;51261;51528;51746;52116;52706;53257;53405;53799;53978;54159;54209;54191;54243;54422;54512;54717;54715;54855;54908;54934;54967;55182
"I alt";"Alder i alt";"I alt";"Hørsholm";24197;24189;24225;24333;24310;24312;24302;24361;24378;24391;24438;24450;24415;24392;24385;24414;24365;24330;24371;24517;24543;24563;24626;24655;24709;24796;24816;24833;24856;24885;24931;25022;24965;24938;24979;24993;24977;25040;25046;25113;25028;25018;25068;25091;25007;25017;25012;24935;24864;24828;24814;24919;24917;24810;24798;24751;24761;24735;24782;24826;24715;24704;24792;24774;24811;24831;24937;25085;25168;25235;25261;25350;25354
"I alt";"Alder i alt";"I alt";"Rudersdal";53869;53859;53924;53972;53915;54072;54155;54299;54444;54488;54613;54802;54765;54614;54557;54704;54630;54626;54549;54772;54827;54768;54805;54991;55034;55080;55228;55394;55441;55479;55420;55705;55739;55851;55915;56110;56133;56018;56060;56159;55989;56075;56134;56545;56509;56525;56556;56807;56728;56638;56623;56873;57024;57009;57195;57349;57247;57255;57424;57267;57193;57151;57055;57219;57237;57293;57308;57372;57342;57402;57386;57810;57912
"I alt";"Alder i alt";"I alt";"Bornholm";42817;42720;42746;42625;42563;42477;42464;42232;42154;42076;42066;41855;41802;41620;41588;41341;41303;41170;41066;40844;40715;40616;40578;40327;40215;40135;40096;39880;39828;39817;39842;39681;39756;39684;39740;39663;39695;39664;39727;39627;39632;39624;39697;39575;39572;39582;39693;39611;39499;39439;39497;39519;39570;39654;39739;39610;39545;39535;39817;39788;39602;39545;39601;39460;39332;39229;39257;39129;38966;38906;38914;38825;38677
"I alt";"Alder i alt";"I alt";"Christiansø";96;94;100;100;96;94;97;103;101;100;96;94;94;105;105;105;103;103;104;98;92;92;92;105;90;94;94;94;91;87;91;95;91;91;89;87;78;78;77;91;83;88;86;94;90;88;83;86;84;85;87;90;90;88;89;94;93;91;91;103;93;98;94;91;91;92;92;93;90;90;93;105;92
"I alt";"Alder i alt";"I alt";"Greve";47773;47749;47743;47907;47951;47910;47834;47913;47826;47879;47857;47932;47978;47932;47911;47936;47942;47975;47997;47978;47980;48009;48045;48100;48095;48408;48540;48681;48835;48911;49137;49348;49518;49610;49717;49822;49921;49951;50000;50012;49974;49973;50077;50201;50267;50277;50289;50469;50558;50452;50520;50561;50514;50541;50681;50701;50818;50900;51346;51461;51507;51483;51596;51769;52157;52310;52672;53160;53536;53637;53739;53900;54120
"I alt";"Alder i alt";"I alt";"Køge";56637;56668;56780;56878;56848;56873;56883;57027;57125;57211;57239;57294;57271;57215;57275;57219;57307;57467;57517;57676;57771;57986;58114;58287;58374;58524;58803;59062;59285;59317;59509;59733;59868;59886;59974;60093;60109;60101;60182;60381;60356;60472;60565;60707;60675;60710;60725;60836;60979;61135;61184;61323;61475;61525;61655;61706;61718;61779;62121;62326;62458;62479;62574;62631;62848;62884;63003;63180;63335;63470;63689;63851;63962
