kommune,år,income
Silkeborg,2003,239459
Skanderborg,2003,245421
Syddjurs,2003,223888
Aarhus,2003,224747
Herning,2003,223317
Holstebro,2003,219927
Ikast-Brande,2003,216332
Lemvig,2003,210364
Ringkøbing-Skjern,2003,217810
Skive,2003,210834
Struer,2003,214506
Viborg,2003,222605
Brønderslev,2003,203842
Frederikshavn,2003,210291
Hjørring,2003,208828
Jammerbugt,2003,211799
Læsø,2003,190698
Mariagerfjord,2003,211354
Morsø,2003,200441
Rebild,2003,222509
Thisted,2003,206482
Vesthimmerland,2003,206343
Aalborg,2003,216925
København,2004,223114
Frederiksberg,2004,270507
Dragør,2004,298129
Tårnby,2004,243744
Albertslund,2004,226906
Ballerup,2004,246575
Brøndby,2004,224035
Gentofte,2004,381268
Gladsaxe,2004,251264
Glostrup,2004,245246
Herlev,2004,237191
Hvidovre,2004,234441
Høje-Taastrup,2004,243791
Ishøj,2004,224898
Lyngby-Taarbæk,2004,302949
Rødovre,2004,233310
Vallensbæk,2004,281856
Allerød,2004,315741
Egedal,2004,287975
Fredensborg,2004,287658
Frederikssund,2004,253755
Furesø,2004,306739
Gribskov,2004,251144
Halsnæs,2004,230221
Helsingør,2004,256479
Hillerød,2004,273483
Hørsholm,2004,374054
Rudersdal,2004,381498
Bornholm,2004,202989
Greve,2004,274277
Køge,2004,249247
Lejre,2004,267858
Roskilde,2004,267324
Solrød,2004,288393
Faxe,2004,232958
Guldborgsund,2004,207652
Holbæk,2004,235946
Kalundborg,2004,225907
Lolland,2004,198923
Næstved,2004,228464
Odsherred,2004,215722
Ringsted,2004,238968
Slagelse,2004,222071
Sorø,2004,234913
Stevns,2004,237219
Vordingborg,2004,215094
Assens,2004,222132
Faaborg-Midtfyn,2004,217949
Kerteminde,2004,229621
Langeland,2004,191691
Middelfart,2004,234526
Nordfyns,2004,217719
Nyborg,2004,220280
Odense,2004,218854
Svendborg,2004,217244
Ærø,2004,200129
Billund,2004,232055
Esbjerg,2004,229158
Fanø,2004,236302
Fredericia,2004,231593
Haderslev,2004,221330
Kolding,2004,237381
Sønderborg,2004,223900
Tønder,2004,210551
Varde,2004,224392
Vejen,2004,219893
Vejle,2004,238399
Aabenraa,2004,223490
Favrskov,2004,240371
Hedensted,2004,235444
Horsens,2004,227776
Norddjurs,2004,213701
Odder,2004,238315
Randers,2004,223214
Samsø,2004,200929
Silkeborg,2004,247171
Skanderborg,2004,252650
Syddjurs,2004,232389
Aarhus,2004,229453
Herning,2004,230820
Holstebro,2004,227487
Ikast-Brande,2004,224758
Lemvig,2004,219391
Ringkøbing-Skjern,2004,227637
Skive,2004,219659
Struer,2004,223481
Viborg,2004,228791
Brønderslev,2004,212444
Frederikshavn,2004,216528
Hjørring,2004,217926
Jammerbugt,2004,217613
Læsø,2004,200104
Mariagerfjord,2004,218981
Morsø,2004,216332
Rebild,2004,231981
Thisted,2004,215417
Vesthimmerland,2004,213222
Aalborg,2004,223743
København,2005,231359
Frederiksberg,2005,279473
Dragør,2005,304476
Tårnby,2005,250546
Albertslund,2005,230819
Ballerup,2005,252649
Brøndby,2005,231214
Gentofte,2005,422780
Gladsaxe,2005,260569
Glostrup,2005,253284
Herlev,2005,244091
Hvidovre,2005,242344
Høje-Taastrup,2005,252776
Ishøj,2005,231588
Lyngby-Taarbæk,2005,319226
Rødovre,2005,242442
Vallensbæk,2005,289606
Allerød,2005,331542
Egedal,2005,298492
Fredensborg,2005,301218
Frederikssund,2005,263711
Furesø,2005,318246
Gribskov,2005,261608
Halsnæs,2005,240098
Helsingør,2005,268869
Hillerød,2005,285977
Hørsholm,2005,395126
Rudersdal,2005,402617
Bornholm,2005,209682
Greve,2005,283675
Køge,2005,257085
Lejre,2005,278898
Roskilde,2005,276973
Solrød,2005,300043
Faxe,2005,241508
Guldborgsund,2005,215307
Holbæk,2005,245235
Kalundborg,2005,234168
Lolland,2005,206089
Næstved,2005,237116
Odsherred,2005,223434
Ringsted,2005,247799
Slagelse,2005,229160
Sorø,2005,244232
Stevns,2005,247823
Vordingborg,2005,225123
Assens,2005,229006
Faaborg-Midtfyn,2005,224006
Kerteminde,2005,238236
Langeland,2005,197949
Middelfart,2005,244190
Nordfyns,2005,224892
Nyborg,2005,226810
Odense,2005,226295
Svendborg,2005,223618
Ærø,2005,203403
Billund,2005,239123
Esbjerg,2005,235558
Fanø,2005,245885
Fredericia,2005,240446
Haderslev,2005,230371
Kolding,2005,245860
Sønderborg,2005,229583
Tønder,2005,217679
Varde,2005,233653
Vejen,2005,229543
Vejle,2005,247733
Aabenraa,2005,231064
Favrskov,2005,247831
Hedensted,2005,247231
Horsens,2005,236887
Norddjurs,2005,221218
Odder,2005,245156
Randers,2005,229933
Samsø,2005,205516
Silkeborg,2005,255125
Skanderborg,2005,264306
Syddjurs,2005,238334
Aarhus,2005,239023
Herning,2005,241254
Holstebro,2005,238318
Ikast-Brande,2005,231873
Lemvig,2005,227186
Ringkøbing-Skjern,2005,238088
Skive,2005,228534
Struer,2005,234126
Viborg,2005,238140
Brønderslev,2005,222593
Frederikshavn,2005,224782
Hjørring,2005,224482
Jammerbugt,2005,227565
Læsø,2005,206219
Mariagerfjord,2005,226495
Morsø,2005,219650
Rebild,2005,240300
Thisted,2005,225366
Vesthimmerland,2005,222319
Aalborg,2005,231249
København,2006,244087
Frederiksberg,2006,296988
Dragør,2006,318427
Tårnby,2006,260397
Albertslund,2006,240246
Ballerup,2006,262130
Brøndby,2006,239198
Gentofte,2006,451369
Gladsaxe,2006,269716
Glostrup,2006,261487
Herlev,2006,253729
Hvidovre,2006,250721
Høje-Taastrup,2006,259797
Ishøj,2006,238194
Lyngby-Taarbæk,2006,332296
Rødovre,2006,250946
Vallensbæk,2006,299079
Allerød,2006,339317
Egedal,2006,308890
Fredensborg,2006,311527
Frederikssund,2006,274570
Furesø,2006,332692
Gribskov,2006,272488
Halsnæs,2006,249704
Helsingør,2006,277291
Hillerød,2006,294206
Hørsholm,2006,422768
Rudersdal,2006,430171
Bornholm,2006,218376
Greve,2006,292998
Køge,2006,267274
Lejre,2006,289810
Roskilde,2006,288877
Solrød,2006,311933
Faxe,2006,251959
Guldborgsund,2006,226528
Holbæk,2006,255061
Kalundborg,2006,246038
Lolland,2006,213902
Næstved,2006,247007
Odsherred,2006,233162
Ringsted,2006,259524
Slagelse,2006,239007
Sorø,2006,254887
Stevns,2006,256730
Vordingborg,2006,234074
Assens,2006,241685
Faaborg-Midtfyn,2006,236476
Kerteminde,2006,246251
Langeland,2006,210957
Middelfart,2006,255270
Nordfyns,2006,237899
Nyborg,2006,239384
Odense,2006,235837
Svendborg,2006,235281
Ærø,2006,214751
Billund,2006,249478
Esbjerg,2006,247857
Fanø,2006,256732
Fredericia,2006,252898
Haderslev,2006,244377
Kolding,2006,259422
Sønderborg,2006,240314
Tønder,2006,230990
Varde,2006,244660
Vejen,2006,239948
Vejle,2006,261528
Aabenraa,2006,241633
Favrskov,2006,261884
Hedensted,2006,260437
Horsens,2006,250164
Norddjurs,2006,229873
Odder,2006,256672
Randers,2006,240497
Samsø,2006,217426
Silkeborg,2006,269059
Skanderborg,2006,279493
Syddjurs,2006,250848
Aarhus,2006,249998
Herning,2006,251330
Holstebro,2006,250065
Ikast-Brande,2006,246048
Lemvig,2006,242627
Ringkøbing-Skjern,2006,253438
Skive,2006,238898
Struer,2006,243314
Viborg,2006,250061
Brønderslev,2006,234497
Frederikshavn,2006,239757
Hjørring,2006,234996
Jammerbugt,2006,239156
Læsø,2006,221958
Mariagerfjord,2006,238184
Morsø,2006,226990
Rebild,2006,253321
Thisted,2006,236887
Vesthimmerland,2006,232374
Aalborg,2006,240288
København,2007,255185
Frederiksberg,2007,306039
Dragør,2007,328772
Tårnby,2007,269854
Albertslund,2007,248985
Ballerup,2007,273451
Brøndby,2007,248438
Gentofte,2007,467806
Gladsaxe,2007,282406
Glostrup,2007,273732
Herlev,2007,266147
Hvidovre,2007,263065
Høje-Taastrup,2007,272145
Ishøj,2007,247706
Lyngby-Taarbæk,2007,353114
Rødovre,2007,263236
Vallensbæk,2007,310855
Allerød,2007,357408
Egedal,2007,320376
Fredensborg,2007,329843
Frederikssund,2007,287370
Furesø,2007,347257
Gribskov,2007,288008
Halsnæs,2007,259693
Helsingør,2007,297878
Hillerød,2007,307165
Hørsholm,2007,456238
Rudersdal,2007,439930
Bornholm,2007,224673
Greve,2007,311442
Køge,2007,279334
Lejre,2007,298882
Roskilde,2007,302285
Solrød,2007,333108
Faxe,2007,265586
Guldborgsund,2007,233622
Holbæk,2007,265893
Kalundborg,2007,257418
Lolland,2007,219769
Næstved,2007,260530
Odsherred,2007,245661
Ringsted,2007,270675
Slagelse,2007,252904
Sorø,2007,265225
Stevns,2007,267297
Vordingborg,2007,243240
Assens,2007,250465
Faaborg-Midtfyn,2007,245010
Kerteminde,2007,259132
Langeland,2007,219977
Middelfart,2007,266468
Nordfyns,2007,244530
Nyborg,2007,245837
Odense,2007,245604
Svendborg,2007,245658
Ærø,2007,227712
Billund,2007,267100
Esbjerg,2007,258076
Fanø,2007,276948
Fredericia,2007,263683
Haderslev,2007,253521
Kolding,2007,269683
Sønderborg,2007,248417
Tønder,2007,240445
Varde,2007,257491
Vejen,2007,249849
Vejle,2007,272645
Aabenraa,2007,252526
Favrskov,2007,273010
Hedensted,2007,269249
Horsens,2007,260931
Norddjurs,2007,240799
Odder,2007,266762
Randers,2007,252698
Samsø,2007,229392
Silkeborg,2007,281787
Skanderborg,2007,289157
Syddjurs,2007,273370
Aarhus,2007,260679
Herning,2007,264035
Holstebro,2007,264603
Ikast-Brande,2007,265750
Lemvig,2007,254193
Ringkøbing-Skjern,2007,260713
Skive,2007,249281
Struer,2007,250890
Viborg,2007,263217
Brønderslev,2007,244215
Frederikshavn,2007,245591
Hjørring,2007,241847
Jammerbugt,2007,246635
Læsø,2007,228052
Mariagerfjord,2007,249925
Morsø,2007,230181
Rebild,2007,263071
Thisted,2007,248696
Vesthimmerland,2007,243115
Aalborg,2007,251853
København,2008,263569
Frederiksberg,2008,308755
Dragør,2008,332548
Tårnby,2008,278900
Albertslund,2008,256722
Ballerup,2008,279522
Brøndby,2008,257466
Gentofte,2008,442884
Gladsaxe,2008,289902
Glostrup,2008,281792
Herlev,2008,274282
Hvidovre,2008,271440
Høje-Taastrup,2008,279445
Ishøj,2008,253059
Lyngby-Taarbæk,2008,351970
Rødovre,2008,274901
Vallensbæk,2008,313819
Allerød,2008,354001
Egedal,2008,325349
Fredensborg,2008,328731
Frederikssund,2008,288630
Furesø,2008,350260
Gribskov,2008,285712
Halsnæs,2008,265339
Helsingør,2008,293493
Hillerød,2008,310630
Hørsholm,2008,419282
Rudersdal,2008,420156
Bornholm,2008,229888
Greve,2008,310629
Køge,2008,282405
Lejre,2008,302333
Roskilde,2008,304945
Solrød,2008,327617
Faxe,2008,266595
Guldborgsund,2008,237744
Holbæk,2008,267692
Kalundborg,2008,253997
Lolland,2008,225811
Næstved,2008,260133
Odsherred,2008,243182
Ringsted,2008,274166
Slagelse,2008,252950
Sorø,2008,263925
Stevns,2008,275153
Vordingborg,2008,242766
Assens,2008,251158
Faaborg-Midtfyn,2008,249389
Kerteminde,2008,257452
Langeland,2008,225423
Middelfart,2008,273180
Nordfyns,2008,247200
Nyborg,2008,253087
Odense,2008,249041
Svendborg,2008,253529
Ærø,2008,231628
Billund,2008,266787
Esbjerg,2008,264736
Fanø,2008,282107
Fredericia,2008,269662
Haderslev,2008,254953
Kolding,2008,276903
Sønderborg,2008,255166
Tønder,2008,236657
Varde,2008,255057
Vejen,2008,251953
Vejle,2008,276920
Aabenraa,2008,255470
Favrskov,2008,278214
Hedensted,2008,271793
Horsens,2008,260742
Norddjurs,2008,241830
Odder,2008,270277
Randers,2008,256186
Samsø,2008,232800
Silkeborg,2008,285152
Skanderborg,2008,292874
Syddjurs,2008,266567
Aarhus,2008,261527
Herning,2008,264729
Holstebro,2008,261021
Ikast-Brande,2008,259856
Lemvig,2008,250491
Ringkøbing-Skjern,2008,257096
Skive,2008,248879
Struer,2008,258738
Viborg,2008,264803
Brønderslev,2008,239407
Frederikshavn,2008,247503
Hjørring,2008,244510
Jammerbugt,2008,247186
Læsø,2008,219581
Mariagerfjord,2008,251840
Morsø,2008,236160
Rebild,2008,264167
Thisted,2008,246664
Vesthimmerland,2008,241768
Aalborg,2008,256818
København,2009,264067
Frederiksberg,2009,308337
Dragør,2009,332736
Tårnby,2009,279064
Albertslund,2009,254578
Ballerup,2009,278315
Brøndby,2009,254863
Gentofte,2009,428813
Gladsaxe,2009,290156
Glostrup,2009,280390
Herlev,2009,274480
Hvidovre,2009,270983
Høje-Taastrup,2009,278146
Ishøj,2009,251108
Lyngby-Taarbæk,2009,342109
Rødovre,2009,269582
Vallensbæk,2009,310134
Allerød,2009,353228
Egedal,2009,319504
Fredensborg,2009,321792
Frederikssund,2009,286781
Furesø,2009,346202
Gribskov,2009,280767
Halsnæs,2009,262503
Helsingør,2009,288924
Hillerød,2009,307356
Hørsholm,2009,401089
Rudersdal,2009,397116
Bornholm,2009,229745
Greve,2009,302682
Køge,2009,278066
Lejre,2009,298918
Roskilde,2009,302567
Solrød,2009,314106
Faxe,2009,261875
Guldborgsund,2009,237465
Holbæk,2009,266021
Kalundborg,2009,255358
Lolland,2009,227468
Næstved,2009,259345
Odsherred,2009,241755
Ringsted,2009,269145
Slagelse,2009,252742
Sorø,2009,267031
Stevns,2009,265872
Vordingborg,2009,242587
Assens,2009,250058
Faaborg-Midtfyn,2009,245731
Kerteminde,2009,256385
Langeland,2009,222735
Middelfart,2009,269573
Nordfyns,2009,243148
Nyborg,2009,253561
Odense,2009,248840
Svendborg,2009,249537
Ærø,2009,228905
Billund,2009,257776
Esbjerg,2009,259479
Fanø,2009,280313
Fredericia,2009,265788
Haderslev,2009,254536
Kolding,2009,267422
Sønderborg,2009,238851
Tønder,2009,230783
Varde,2009,251312
Vejen,2009,245277
Vejle,2009,270692
Aabenraa,2009,247369
Favrskov,2009,271958
Hedensted,2009,266665
Horsens,2009,259031
Norddjurs,2009,237637
Odder,2009,269166
Randers,2009,252269
Samsø,2009,234531
Silkeborg,2009,281843
Skanderborg,2009,288328
Syddjurs,2009,258965
Aarhus,2009,260595
Herning,2009,256330
Holstebro,2009,253212
Ikast-Brande,2009,249959
Lemvig,2009,243162
Ringkøbing-Skjern,2009,251466
Skive,2009,245192
Struer,2009,250918
Viborg,2009,261340
Brønderslev,2009,241159
Frederikshavn,2009,245392
Hjørring,2009,239807
Jammerbugt,2009,244289
Læsø,2009,217424
Mariagerfjord,2009,247017
Morsø,2009,230421
Rebild,2009,262486
Thisted,2009,238869
Vesthimmerland,2009,236712
Aalborg,2009,254579
København,2010,271857
Frederiksberg,2010,323858
Dragør,2010,348191
Tårnby,2010,286436
Albertslund,2010,260044
Ballerup,2010,286989
Brøndby,2010,259871
Gentofte,2010,476066
Gladsaxe,2010,300951
Glostrup,2010,288112
Herlev,2010,283522
Hvidovre,2010,279253
Høje-Taastrup,2010,280800
Ishøj,2010,256901
Lyngby-Taarbæk,2010,373274
Rødovre,2010,276618
Vallensbæk,2010,320514
Allerød,2010,373327
Egedal,2010,334407
Fredensborg,2010,339904
Frederikssund,2010,292462
Furesø,2010,367543
Gribskov,2010,291188
Halsnæs,2010,269425
Helsingør,2010,301507
Hillerød,2010,321529
Hørsholm,2010,462342
Rudersdal,2010,454763
Bornholm,2010,240996
Greve,2010,312940
Køge,2010,285894
Lejre,2010,314017
Roskilde,2010,313076
Solrød,2010,328865
Faxe,2010,270878
Guldborgsund,2010,246530
Holbæk,2010,275258
Kalundborg,2010,263780
Lolland,2010,234445
Næstved,2010,266782
Odsherred,2010,249568
Ringsted,2010,278781
Slagelse,2010,258496
Sorø,2010,273090
Stevns,2010,275030
Vordingborg,2010,251896
Assens,2010,258312
Faaborg-Midtfyn,2010,253509
Kerteminde,2010,264782
Langeland,2010,230044
Middelfart,2010,279902
Nordfyns,2010,253740
Nyborg,2010,260239
Odense,2010,257546
Svendborg,2010,257551
Ærø,2010,235605
Billund,2010,273502
Esbjerg,2010,269351
Fanø,2010,289677
Fredericia,2010,274300
Haderslev,2010,259908
Kolding,2010,277984
Sønderborg,2010,261580
Tønder,2010,239476
Varde,2010,261017
Vejen,2010,257565
Vejle,2010,283663
Aabenraa,2010,258176
Favrskov,2010,283896
Hedensted,2010,275397
Horsens,2010,267420
Norddjurs,2010,247190
Odder,2010,278487
Randers,2010,259910
Samsø,2010,235559
Silkeborg,2010,277641
Skanderborg,2010,302636
Syddjurs,2010,268841
Aarhus,2010,272861
Herning,2010,268167
Holstebro,2010,265622
Ikast-Brande,2010,261290
Lemvig,2010,264844
Ringkøbing-Skjern,2010,262206
Skive,2010,252102
Struer,2010,258518
Viborg,2010,271739
Brønderslev,2010,252216
Frederikshavn,2010,254712
Hjørring,2010,250637
Jammerbugt,2010,254147
Læsø,2010,231514
Mariagerfjord,2010,257370
Morsø,2010,236438
Rebild,2010,271496
Thisted,2010,248692
Vesthimmerland,2010,244766
Aalborg,2010,263322
København,2011,277048
Frederiksberg,2011,326855
Dragør,2011,366796
Tårnby,2011,291759
Albertslund,2011,259955
Ballerup,2011,289781
Brøndby,2011,261804
Gentofte,2011,485273
Gladsaxe,2011,303516
Glostrup,2011,290727
Herlev,2011,286920
Hvidovre,2011,280589
Høje-Taastrup,2011,282688
Ishøj,2011,257168
Lyngby-Taarbæk,2011,375443
Rødovre,2011,278523
Vallensbæk,2011,320512
Allerød,2011,379782
Egedal,2011,333340
Fredensborg,2011,342416
Frederikssund,2011,296106
Furesø,2011,366142
Gribskov,2011,295048
Halsnæs,2011,272706
Helsingør,2011,303564
Hillerød,2011,321930
Hørsholm,2011,454837
Rudersdal,2011,452464
Bornholm,2011,243998
Greve,2011,315484
Køge,2011,290079
Lejre,2011,315855
Roskilde,2011,315354
Solrød,2011,332781
Faxe,2011,273599
Guldborgsund,2011,244152
Holbæk,2011,278393
Kalundborg,2011,267457
Lolland,2011,237375
Næstved,2011,271004
Odsherred,2011,252743
Ringsted,2011,281999
Slagelse,2011,260868
Sorø,2011,277830
Stevns,2011,280172
Vordingborg,2011,254837
Assens,2011,262639
Faaborg-Midtfyn,2011,257817
Kerteminde,2011,268944
Langeland,2011,231100
Middelfart,2011,281700
Nordfyns,2011,260881
Nyborg,2011,262825
Odense,2011,260104
Svendborg,2011,262339
Ærø,2011,236411
Billund,2011,276243
Esbjerg,2011,273569
Fanø,2011,292860
Fredericia,2011,275355
Haderslev,2011,262565
Kolding,2011,282190
Sønderborg,2011,264899
Tønder,2011,245577
Varde,2011,266031
Vejen,2011,260131
Vejle,2011,284653
Aabenraa,2011,261635
Favrskov,2011,287496
Hedensted,2011,277368
Horsens,2011,271651
Norddjurs,2011,250674
Odder,2011,280988
Randers,2011,263499
Samsø,2011,244605
Silkeborg,2011,277189
Skanderborg,2011,305479
Syddjurs,2011,271923
Aarhus,2011,274041
Herning,2011,279511
Holstebro,2011,270667
Ikast-Brande,2011,268633
Lemvig,2011,264969
Ringkøbing-Skjern,2011,269605
Skive,2011,256348
Struer,2011,263386
Viborg,2011,273709
Brønderslev,2011,258440
Frederikshavn,2011,258961
Hjørring,2011,258604
Jammerbugt,2011,260417
Læsø,2011,237970
Mariagerfjord,2011,261598
Morsø,2011,243482
Rebild,2011,282335
Thisted,2011,254421
Vesthimmerland,2011,252155
Aalborg,2011,266269
København,2012,282824
Frederiksberg,2012,336108
Dragør,2012,364254
Tårnby,2012,294830
Albertslund,2012,264922
Ballerup,2012,295149
Brøndby,2012,263907
Gentofte,2012,500416
Gladsaxe,2012,307933
Glostrup,2012,293181
Herlev,2012,292229
Hvidovre,2012,286178
Høje-Taastrup,2012,285254
Ishøj,2012,260658
Lyngby-Taarbæk,2012,386363
Rødovre,2012,283406
Vallensbæk,2012,325987
Allerød,2012,383653
Egedal,2012,338312
Fredensborg,2012,350626
Frederikssund,2012,301100
Furesø,2012,377997
Gribskov,2012,304949
Halsnæs,2012,277915
Helsingør,2012,309867
Hillerød,2012,329644
Hørsholm,2012,463811
Rudersdal,2012,475594
Bornholm,2012,249829
Greve,2012,319768
Køge,2012,295442
Lejre,2012,322116
Roskilde,2012,322039
Solrød,2012,339853
Faxe,2012,281111
Guldborgsund,2012,253030
Holbæk,2012,284954
Kalundborg,2012,273016
Lolland,2012,243332
Næstved,2012,276502
Odsherred,2012,258857
Ringsted,2012,287818
Slagelse,2012,265216
Sorø,2012,284603
Stevns,2012,284046
Vordingborg,2012,260486
Assens,2012,267784
Faaborg-Midtfyn,2012,264002
Kerteminde,2012,269904
Langeland,2012,238265
Middelfart,2012,289543
Nordfyns,2012,264794
Nyborg,2012,267072
Odense,2012,260813
Svendborg,2012,268330
Ærø,2012,243378
Billund,2012,285308
Esbjerg,2012,279815
Fanø,2012,296548
Fredericia,2012,280027
Haderslev,2012,265621
Kolding,2012,287716
Sønderborg,2012,272885
Tønder,2012,247913
Varde,2012,273576
Vejen,2012,271162
Vejle,2012,291007
Aabenraa,2012,266148
Favrskov,2012,294501
Hedensted,2012,285303
Horsens,2012,277817
Norddjurs,2012,254920
Odder,2012,287739
Randers,2012,267809
Samsø,2012,254623
Silkeborg,2012,287488
Skanderborg,2012,313890
Syddjurs,2012,280794
Aarhus,2012,278220
Herning,2012,276509
Holstebro,2012,278613
Ikast-Brande,2012,271923
Lemvig,2012,266398
Ringkøbing-Skjern,2012,276646
Skive,2012,262290
Struer,2012,269023
Viborg,2012,278363
Brønderslev,2012,267504
Frederikshavn,2012,270118
Hjørring,2012,264855
Jammerbugt,2012,267491
Læsø,2012,244187
Mariagerfjord,2012,269010
Morsø,2012,249259
Rebild,2012,289685
Thisted,2012,258174
Vesthimmerland,2012,258000
Aalborg,2012,271327
København,2013,288110
Frederiksberg,2013,345094
Dragør,2013,369663
Tårnby,2013,298326
Albertslund,2013,265559
Ballerup,2013,298294
Brøndby,2013,266110
Gentofte,2013,512190
Gladsaxe,2013,314458
Glostrup,2013,297047
Herlev,2013,299158
Hvidovre,2013,288966
Høje-Taastrup,2013,287564
Ishøj,2013,262342
Lyngby-Taarbæk,2013,398972
Rødovre,2013,288563
Vallensbæk,2013,330275
Allerød,2013,382087
Egedal,2013,345070
Fredensborg,2013,357974
Frederikssund,2013,305826
Furesø,2013,383702
Gribskov,2013,304416
Halsnæs,2013,283520
Helsingør,2013,319700
Hillerød,2013,332711
Hørsholm,2013,477084
Rudersdal,2013,496260
Bornholm,2013,252056
Greve,2013,324892
Køge,2013,297988
Lejre,2013,327424
Roskilde,2013,324935
Solrød,2013,339966
Faxe,2013,281559
Guldborgsund,2013,259687
Holbæk,2013,289642
Kalundborg,2013,278071
Lolland,2013,249599
Næstved,2013,280006
Odsherred,2013,263214
Ringsted,2013,291279
Slagelse,2013,269070
Sorø,2013,290911
Stevns,2013,289705
Vordingborg,2013,266401
Assens,2013,270534
Faaborg-Midtfyn,2013,267375
Kerteminde,2013,276207
Langeland,2013,241052
Middelfart,2013,293003
Nordfyns,2013,270783
Nyborg,2013,270759
Odense,2013,266297
Svendborg,2013,272393
Ærø,2013,244336
Billund,2013,292480
Esbjerg,2013,285294
Fanø,2013,302103
Fredericia,2013,283050
Haderslev,2013,270236
Kolding,2013,290165
Sønderborg,2013,272633
Tønder,2013,255498
Varde,2013,284414
Vejen,2013,277686
Vejle,2013,294974
Aabenraa,2013,269677
Favrskov,2013,299538
Hedensted,2013,290007
Horsens,2013,282867
Norddjurs,2013,258879
Odder,2013,292984
Randers,2013,270548
Samsø,2013,258789
Silkeborg,2013,292119
Skanderborg,2013,318748
Syddjurs,2013,292659
Aarhus,2013,285084
Herning,2013,279723
Holstebro,2013,285641
Ikast-Brande,2013,279289
Lemvig,2013,280211
Ringkøbing-Skjern,2013,280031
Skive,2013,265916
Struer,2013,271401
Viborg,2013,285631
Brønderslev,2013,272724
Frederikshavn,2013,272244
Hjørring,2013,271161
Jammerbugt,2013,273893
Læsø,2013,251586
Mariagerfjord,2013,270434
Morsø,2013,255280
Rebild,2013,297763
Thisted,2013,266345
Vesthimmerland,2013,263828
Aalborg,2013,274606
København,2014,294796
Frederiksberg,2014,353406
Dragør,2014,378606
Tårnby,2014,303129
Albertslund,2014,270427
Ballerup,2014,310115
Brøndby,2014,268436
Gentofte,2014,530603
Gladsaxe,2014,320386
Glostrup,2014,299591
Herlev,2014,299872
Hvidovre,2014,294413
Høje-Taastrup,2014,290763
Ishøj,2014,263608
Lyngby-Taarbæk,2014,421315
Rødovre,2014,293974
Vallensbæk,2014,340046
Allerød,2014,389651
Egedal,2014,346848
Fredensborg,2014,363846
Frederikssund,2014,309466
Furesø,2014,393506
Gribskov,2014,313277
Halsnæs,2014,288228
Helsingør,2014,325160
Hillerød,2014,337795
Hørsholm,2014,483719
Rudersdal,2014,517457
Bornholm,2014,256319
Greve,2014,329628
Køge,2014,305297
Lejre,2014,329252
Roskilde,2014,333567
Solrød,2014,354050
Faxe,2014,285715
Guldborgsund,2014,261926
Holbæk,2014,293608
Kalundborg,2014,282296
Lolland,2014,254899
Næstved,2014,283174
Odsherred,2014,267571
Ringsted,2014,295423
Slagelse,2014,272201
Sorø,2014,295135
Stevns,2014,294932
Vordingborg,2014,270211
Assens,2014,272421
Faaborg-Midtfyn,2014,272273
Kerteminde,2014,283892
Langeland,2014,245812
Middelfart,2014,297634
Nordfyns,2014,273469
Nyborg,2014,275264
Odense,2014,269390
Svendborg,2014,277827
Ærø,2014,253021
Billund,2014,294787
Esbjerg,2014,290079
Fanø,2014,306872
Fredericia,2014,288050
Haderslev,2014,274905
Kolding,2014,295378
Sønderborg,2014,279858
Tønder,2014,257175
Varde,2014,281394
Vejen,2014,278754
Vejle,2014,298948
Aabenraa,2014,272002
Favrskov,2014,304315
Hedensted,2014,295804
Horsens,2014,287782
Norddjurs,2014,262651
Odder,2014,297536
Randers,2014,273721
Samsø,2014,259279
Silkeborg,2014,284450
Skanderborg,2014,325329
Syddjurs,2014,286313
Aarhus,2014,289764
Herning,2014,285995
Holstebro,2014,284946
Ikast-Brande,2014,278626
Lemvig,2014,279009
Ringkøbing-Skjern,2014,283769
Skive,2014,269446
Struer,2014,270404
Viborg,2014,287123
Brønderslev,2014,274390
Frederikshavn,2014,274327
Hjørring,2014,274457
Jammerbugt,2014,273766
Læsø,2014,248824
Mariagerfjord,2014,275907
Morsø,2014,258592
Rebild,2014,301612
Thisted,2014,267039
Vesthimmerland,2014,266439
Aalborg,2014,277618
København,2015,304699
Frederiksberg,2015,364056
Dragør,2015,395557
Tårnby,2015,310723
Albertslund,2015,275786
Ballerup,2015,314747
Brøndby,2015,273606
Gentofte,2015,611952
Gladsaxe,2015,328195
Glostrup,2015,308247
Herlev,2015,307022
Hvidovre,2015,300369
Høje-Taastrup,2015,295065
Ishøj,2015,268993
Lyngby-Taarbæk,2015,463346
Rødovre,2015,302880
Vallensbæk,2015,343110
Allerød,2015,401109
Egedal,2015,358261
Fredensborg,2015,382642
Frederikssund,2015,316831
Furesø,2015,398031
Gribskov,2015,317617
Halsnæs,2015,294684
Helsingør,2015,334411
Hillerød,2015,355401
Hørsholm,2015,504636
Rudersdal,2015,534903
Bornholm,2015,262203
Greve,2015,334804
Køge,2015,311097
Lejre,2015,337277
Roskilde,2015,342134
Solrød,2015,364750
Faxe,2015,290296
Guldborgsund,2015,267372
Holbæk,2015,302431
Kalundborg,2015,292268
Lolland,2015,256398
Næstved,2015,288941
Odsherred,2015,271584
Ringsted,2015,300358
Slagelse,2015,277129
Sorø,2015,302594
Stevns,2015,299755
Vordingborg,2015,275865
Assens,2015,279089
Faaborg-Midtfyn,2015,278217
Kerteminde,2015,291161
Langeland,2015,247889
Middelfart,2015,309662
