kommune,år,income
Faxe,1994,162060
Guldborgsund,1994,148886
Holbæk,1994,164987
Kalundborg,1994,161739
Lolland,1994,144867
Næstved,1994,161144
Odsherred,1994,155935
Ringsted,1994,165975
Slagelse,1994,160802
Sorø,1994,160508
Stevns,1994,167132
Vordingborg,1994,153455
Assens,1994,154963
Faaborg-Midtfyn,1994,154772
Kerteminde,1994,164819
Langeland,1994,139292
Middelfart,1994,161685
Nordfyns,1994,153867
Nyborg,1994,156667
Odense,1994,157689
Svendborg,1994,153921
Ærø,1994,141433
Billund,1994,171735
Esbjerg,1994,165351
Fanø,1994,167692
Fredericia,1994,166447
Haderslev,1994,156528
Kolding,1994,166836
Sønderborg,1994,159297
Tønder,1994,153159
Varde,1994,159974
Vejen,1994,155791
Vejle,1994,165045
Aabenraa,1994,159478
Favrskov,1994,167200
Hedensted,1994,160502
Horsens,1994,161414
Norddjurs,1994,153690
Odder,1994,163113
Randers,1994,156909
Samsø,1994,139861
Silkeborg,1994,166052
Skanderborg,1994,170841
Syddjurs,1994,158370
Aarhus,1994,165863
Herning,1994,163697
Holstebro,1994,160288
Ikast-Brande,1994,158021
Lemvig,1994,154316
Ringkøbing-Skjern,1994,157992
Skive,1994,156177
Struer,1994,156445
Viborg,1994,158490
Brønderslev,1994,148138
Frederikshavn,1994,157764
Hjørring,1994,153550
Jammerbugt,1994,151669
Læsø,1994,143363
Mariagerfjord,1994,153300
Morsø,1994,146071
Rebild,1994,158777
Thisted,1994,151948
Vesthimmerland,1994,148976
Aalborg,1994,159249
København,1995,161926
Frederiksberg,1995,197266
Dragør,1995,220330
Tårnby,1995,184378
Albertslund,1995,179120
Ballerup,1995,187775
Brøndby,1995,173362
Gentofte,1995,262829
Gladsaxe,1995,184409
Glostrup,1995,183864
Herlev,1995,179964
Hvidovre,1995,175844
Høje-Taastrup,1995,186875
Ishøj,1995,175433
Lyngby-Taarbæk,1995,216042
Rødovre,1995,177831
Vallensbæk,1995,215289
Allerød,1995,223112
Egedal,1995,211242
Fredensborg,1995,207920
Frederikssund,1995,185364
Furesø,1995,227734
Gribskov,1995,183020
Halsnæs,1995,169157
Helsingør,1995,185110
Hillerød,1995,196630
Hørsholm,1995,276546
Rudersdal,1995,258547
Bornholm,1995,153031
Greve,1995,203390
Køge,1995,182091
Lejre,1995,195706
Roskilde,1995,195011
Solrød,1995,210893
Faxe,1995,169095
Guldborgsund,1995,154834
Holbæk,1995,171705
Kalundborg,1995,168539
Lolland,1995,149535
Næstved,1995,168129
Odsherred,1995,161061
Ringsted,1995,175083
Slagelse,1995,167026
Sorø,1995,168652
Stevns,1995,174828
Vordingborg,1995,158678
Assens,1995,161234
Faaborg-Midtfyn,1995,161022
Kerteminde,1995,171218
Langeland,1995,145443
Middelfart,1995,169610
Nordfyns,1995,161073
Nyborg,1995,163461
Odense,1995,163234
Svendborg,1995,158831
Ærø,1995,148075
Billund,1995,175222
Esbjerg,1995,170791
Fanø,1995,175593
Fredericia,1995,174532
Haderslev,1995,163592
Kolding,1995,174928
Sønderborg,1995,167262
Tønder,1995,159617
Varde,1995,167045
Vejen,1995,162616
Vejle,1995,173240
Aabenraa,1995,166954
Favrskov,1995,172696
Hedensted,1995,168979
Horsens,1995,171010
Norddjurs,1995,160401
Odder,1995,172079
Randers,1995,163894
Samsø,1995,150672
Silkeborg,1995,175233
Skanderborg,1995,179927
Syddjurs,1995,168086
Aarhus,1995,172399
Herning,1995,171448
Holstebro,1995,166884
Ikast-Brande,1995,164568
Lemvig,1995,161549
Ringkøbing-Skjern,1995,166146
Skive,1995,163704
Struer,1995,165197
Viborg,1995,166442
Brønderslev,1995,155453
Frederikshavn,1995,163597
Hjørring,1995,159115
Jammerbugt,1995,158756
Læsø,1995,149842
Mariagerfjord,1995,159058
Morsø,1995,151853
Rebild,1995,165120
Thisted,1995,159167
Vesthimmerland,1995,155217
Aalborg,1995,166348
København,1996,167559
Frederiksberg,1996,204176
Dragør,1996,231570
Tårnby,1996,190478
Albertslund,1996,183150
Ballerup,1996,192508
Brøndby,1996,175605
Gentofte,1996,275624
Gladsaxe,1996,190643
Glostrup,1996,188627
Herlev,1996,185224
Hvidovre,1996,181327
Høje-Taastrup,1996,192925
Ishøj,1996,180443
Lyngby-Taarbæk,1996,226121
Rødovre,1996,182516
Vallensbæk,1996,221615
Allerød,1996,230321
Egedal,1996,218030
Fredensborg,1996,217100
Frederikssund,1996,193143
Furesø,1996,234332
Gribskov,1996,189438
Halsnæs,1996,175640
Helsingør,1996,192477
Hillerød,1996,203792
Hørsholm,1996,277434
Rudersdal,1996,271604
Bornholm,1996,157091
Greve,1996,210746
Køge,1996,189205
Lejre,1996,204544
Roskilde,1996,201621
Solrød,1996,219763
Faxe,1996,176220
Guldborgsund,1996,160776
Holbæk,1996,177548
Kalundborg,1996,172780
Lolland,1996,154149
Næstved,1996,173708
Odsherred,1996,166750
Ringsted,1996,180231
Slagelse,1996,171059
Sorø,1996,175796
Stevns,1996,181234
Vordingborg,1996,163873
Assens,1996,167155
Faaborg-Midtfyn,1996,166404
Kerteminde,1996,176523
Langeland,1996,150817
Middelfart,1996,175928
Nordfyns,1996,166246
Nyborg,1996,168053
Odense,1996,168261
Svendborg,1996,166122
Ærø,1996,151189
Billund,1996,181110
Esbjerg,1996,176012
Fanø,1996,183616
Fredericia,1996,179049
Haderslev,1996,169711
Kolding,1996,180835
Sønderborg,1996,173083
Tønder,1996,165368
Varde,1996,173561
Vejen,1996,167699
Vejle,1996,179242
Aabenraa,1996,172835
Favrskov,1996,181233
Hedensted,1996,175708
Horsens,1996,173518
Norddjurs,1996,165760
Odder,1996,177772
Randers,1996,170083
Samsø,1996,155102
Silkeborg,1996,185279
Skanderborg,1996,186755
Syddjurs,1996,174954
Aarhus,1996,178240
Herning,1996,177468
Holstebro,1996,173138
Ikast-Brande,1996,171133
Lemvig,1996,168176
Ringkøbing-Skjern,1996,170698
Skive,1996,172800
Struer,1996,172899
Viborg,1996,172578
Brønderslev,1996,161571
Frederikshavn,1996,168833
Hjørring,1996,165504
Jammerbugt,1996,165956
Læsø,1996,155970
Mariagerfjord,1996,165764
Morsø,1996,159449
Rebild,1996,171487
Thisted,1996,164423
Vesthimmerland,1996,160131
Aalborg,1996,171472
København,1997,172856
Frederiksberg,1997,212146
Dragør,1997,239897
Tårnby,1997,195427
Albertslund,1997,187986
Ballerup,1997,198749
Brøndby,1997,180688
Gentofte,1997,290055
Gladsaxe,1997,197645
Glostrup,1997,194094
Herlev,1997,190418
Hvidovre,1997,187023
Høje-Taastrup,1997,199865
Ishøj,1997,184886
Lyngby-Taarbæk,1997,238639
Rødovre,1997,188399
Vallensbæk,1997,230775
Allerød,1997,244527
Egedal,1997,227947
Fredensborg,1997,243134
Frederikssund,1997,202460
Furesø,1997,245300
Gribskov,1997,197338
Halsnæs,1997,181808
Helsingør,1997,199085
Hillerød,1997,213348
