kommune,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4,2002K1,2002K2,2002K3,2002K4,2003K1,2003K2,2003K3,2003K4,2004K1,2004K2,2004K3,2004K4,2005K1,2005K2,2005K3,2005K4,2006K1,2006K2,2006K3,2006K4,2007K1,2007K2,2007K3,2007K4,2008K1,2008K2,2008K3,2008K4,2009K1,2009K2,2009K3,2009K4,2010K1,2010K2,2010K3,2010K4,2011K1,2011K2,2011K3,2011K4,2012K1,2012K2,2012K3,2012K4,2013K1,2013K2,2013K3,2013K4,2014K1,2014K2,2014K3,2014K4,2015K1,2015K2,2015K3,2015K4,2016K1,2016K2,2016K3,2016K4,2017K1,2017K2,2017K3,2017K4,2018K1,2018K2,2018K3,2018K4,2019K1,2019K2,2019K3,2019K4,2020K1,2020K2,2020K3,2020K4,2021K1,2021K2,2021K3,2021K4,2022K1,2022K2,2022K3,2022K4,2023K1,2023K2,2023K3,2023K4,2024K1,2024K2,2024K3,2024K4,2025K1,2025K2,2025K3,2025K4
Solrød,5441.0,5580.0,5172.0,5407.0,4975.0,5533.0,5917.0,5591.0,5950.0,5976.0,6059.0,5545.0,5977.0,6774.0,6405.0,7212.0,7991.0,7754.0,7797.0,8256.0,8355.0,8700.0,9501.0,9056.0,9355.0,9719.0,10269.0,10090.0,10581.0,10933.0,11047.0,10482.0,10874.0,11480.0,11814.0,11980.0,11652.0,12805.0,12461.0,11905.0,12814.0,12419.0,12629.0,13225.0,12948.0,13593.0,13434.0,13984.0,14538,15186.0,16025.0,13984,15659.0,17184,18683,19424,20686.0,23668.0,25782.0,25074.0,25033.0,24254.0,22687,20486.0,22266.0,22282,19565.0,19034.0,16310.0,16021.0,17593,16162.0,17636.0,18833.0,18181.0,17832.0,19756.0,17044.0,16986.0,16893.0,16626.0,16072.0,14123.0,17139.0,16710,17404.0,16612.0,17903.0,16790.0,17071.0,16147.0,16933.0,18359.0,18158.0,18426.0,18874.0,17646.0,18947,20804,20252,19693.0,20249.0,20383,21599,21171,21126.0,21746,21913.0,23427,23782,22486,23590,23180.0,23087,25307.0,24873,27853,28401,27792,27421.0,30550,30422.0,31748,28777,26737.0,26258.0,28797,27545.0,28069.0,26367,29142,31255.0,29451.0,30423.0,31306.0,33839.0
Faxe,3900.0,4011.0,3825.0,4008.0,3708.0,3878.0,4088.0,4233.0,3732.0,4025.0,4156.0,4049.0,3923.0,4116.0,4303.0,4250.0,4845.0,4601.0,4784.0,4975.0,5114.0,5031.0,5481.0,5515.0,5360.0,5949.0,5696.0,6178.0,6407.0,6466.0,6568.0,6627.0,7326.0,7130.0,7283.0,6806.0,7568.0,7562.0,7907.0,7738.0,8177.0,8577.0,8117.0,7883.0,7741.0,8811.0,8972.0,8499.0,8819,8902.0,8726.0,9042,9668.0,10199,10336,10973,11048.0,12170.0,12710.0,12795.0,13131.0,13035.0,12893,13701.0,13325.0,13525,12638.0,11505.0,10419.0,11016.0,9940,10974.0,10682.0,9679.0,9760.0,9709.0,9607.0,8934.0,9436.0,9491.0,7676.0,8308.0,8571.0,8279.0,7979,8480.0,7040.0,7642.0,7082.0,7782.0,7507.0,8114.0,8366.0,8590.0,9068.0,9310.0,8110.0,8960,9031,9674,8768.0,10339.0,10037,9560,10614,11075.0,10880,10337.0,10960,10742,10957,10439,10661.0,11545,12107.0,11250,11957,13447,13167,13157.0,13173,12868.0,12498,11562,13107.0,12441.0,12093,12744.0,12135.0,11968,12390,12820.0,11830.0,12918.0,13096.0,13332.0
Guldborgsund,2865.0,2849.0,2806.0,2876.0,2705.0,2941.0,3134.0,3038.0,3236.0,3099.0,2915.0,2905.0,3097.0,3002.0,2898.0,3195.0,3284.0,3593.0,3188.0,3285.0,3236.0,3498.0,3646.0,3603.0,3702.0,3844.0,3803.0,3810.0,4243.0,4050.0,4248.0,4050.0,4443.0,4407.0,4529.0,4303.0,4902.0,4814.0,4876.0,4724.0,4989.0,4845.0,5064.0,5132.0,5330.0,5515.0,5742.0,5739.0,5610,6098.0,6253.0,6075,6287.0,6682,6744,7071,7447.0,8195.0,7867.0,8030.0,8509.0,8591.0,8616,8593.0,8557.0,8442,8607.0,7788.0,8140.0,7572.0,7386,7668.0,7606.0,7669.0,7168.0,7166.0,7020.0,6774.0,6343.0,6293.0,5869.0,5837.0,6078.0,5247.0,5313,5390.0,5103.0,5835.0,4743.0,5436.0,4821.0,4582.0,5146.0,5524.0,5258.0,5485.0,5147.0,5579,5720,5237,5875.0,5866.0,6132,6820,6273,6124.0,6337,6453.0,6195,6553,6495,6077,7122.0,6376,6268.0,6979,6804,7445,7518,7609.0,7656,7695.0,7815,6783,7181.0,7667.0,7061,7305.0,7890.0,7813,7544,7673.0,7525.0,8059.0,8383.0,7570.0
Holbæk,3956.0,4246.0,4162.0,3851.0,3812.0,3935.0,4353.0,4177.0,4409.0,4401.0,4318.0,4176.0,4385.0,4546.0,4490.0,4786.0,4844.0,4966.0,5182.0,5282.0,5652.0,5615.0,5759.0,5660.0,6143.0,6324.0,6224.0,6434.0,7004.0,6920.0,7062.0,7356.0,7326.0,7400.0,7280.0,7361.0,7910.0,8284.0,8011.0,8447.0,8539.0,9027.0,8640.0,8555.0,8781.0,8701.0,8853.0,9138.0,9847,9408.0,9865.0,10051,10293.0,11093,11839,11630,12344.0,13517.0,13864.0,13923.0,14338.0,14897.0,14717,14725.0,14133.0,15020,14102.0,13323.0,12949.0,11517.0,11901,11933.0,11546.0,11108.0,11943.0,10888.0,11690.0,11136.0,10083.0,10376.0,9570.0,9607.0,9215.0,9801.0,10680,10310.0,10165.0,9763.0,9546.0,10592.0,9842.0,9701.0,9666.0,11166.0,10489.0,10258.0,10449.0,10922,11058,11045,10803.0,12155.0,11818,11544,11158,12241.0,12549,11709.0,11228,11948,13242,12384,12545.0,12974,13044.0,13402,14135,14486,15045,14366.0,14172,13954.0,14425,14071,14624.0,13747.0,14542,14029.0,14621.0,15786,15612,14915.0,15710.0,15396.0,15459.0,15851.0
Kalundborg,3363.0,3315.0,3211.0,3149.0,3245.0,3460.0,3451.0,3462.0,3578.0,3525.0,3525.0,3579.0,3391.0,3530.0,3443.0,3737.0,3853.0,4029.0,3758.0,3914.0,4018.0,4315.0,4117.0,4526.0,4618.0,4826.0,4751.0,5111.0,5019.0,5022.0,5268.0,5244.0,5757.0,5709.0,5574.0,5697.0,5634.0,6101.0,6146.0,6519.0,6760.0,6599.0,6559.0,6741.0,6811.0,7457.0,7497.0,7368.0,7393,7265.0,8224.0,7762,8199.0,8094,8916,9301,9195.0,9252.0,10219.0,10401.0,10620.0,10753.0,11027,10960.0,11020.0,11536,11158.0,9980.0,9536.0,9111.0,9438,10212.0,8468.0,8365.0,8838.0,8571.0,8077.0,8274.0,8200.0,8599.0,8159.0,7902.0,7832.0,7075.0,7438,7649.0,7034.0,6524.0,7569.0,7424.0,6624.0,6613.0,7416.0,7186.0,6877.0,6741.0,7283.0,7718,7702,7686,7427.0,7988.0,8049,7577,7945,8175.0,8541,7461.0,7917,8240,8625,8444,7959.0,8764,8535.0,8934,9303,8900,9094,9275.0,10051,9653.0,9268,8558,9422.0,9190.0,9729,9824.0,10254.0,11048,10088,10947.0,10934.0,10956.0,11043.0,11098.0
Lolland,2588.0,2520.0,2375.0,2536.0,2364.0,2488.0,2593.0,2606.0,2493.0,2675.0,2512.0,2593.0,2550.0,2537.0,2552.0,2550.0,2551.0,2662.0,2578.0,2568.0,2873.0,2813.0,2717.0,2789.0,2769.0,3046.0,3070.0,3052.0,3365.0,3222.0,3081.0,3253.0,3299.0,3391.0,3241.0,3272.0,3474.0,3738.0,3497.0,3605.0,3809.0,3867.0,3844.0,3950.0,4100.0,4024.0,4280.0,4188.0,4293,4645.0,4367.0,4502,4787.0,5109,4948,5013,5745.0,5516.0,6085.0,5683.0,6001.0,6016.0,6333,6098.0,6369.0,6418,6498.0,5940.0,5635.0,5675.0,5993,5288.0,5337.0,5410.0,5399.0,5064.0,4706.0,4954.0,3982.0,4672.0,3239.0,4603.0,3723.0,3093.0,4591,3815.0,3143.0,3151.0,3357.0,3269.0,3453.0,3232.0,3312.0,3775.0,4155.0,2715.0,3215.0,3753,3542,3341,4061.0,4180.0,4015,4041,4270,4088.0,4898,4311.0,3845,3577,3782,3300,4117.0,3860,4444.0,4088,4553,5201,4746,4985.0,4872,4820.0,4447,4676,4535.0,4520.0,4522,4097.0,4746.0,4916,4592,4707.0,5231.0,5346.0,5623.0,4697.0
Næstved,3810.0,3967.0,3747.0,3344.0,3582.0,3968.0,3970.0,4273.0,3925.0,4156.0,3996.0,3712.0,4194.0,3989.0,4249.0,4280.0,4370.0,4460.0,4723.0,4727.0,5046.0,5383.0,5368.0,5326.0,5555.0,5719.0,5885.0,5719.0,6183.0,6144.0,6202.0,6404.0,6630.0,6681.0,6730.0,6867.0,7158.0,7222.0,7405.0,7508.0,7809.0,7679.0,7683.0,7837.0,7494.0,7733.0,8424.0,8349.0,8631,8374.0,8705.0,8905,9018.0,9816,10158,11328,11171.0,11724.0,12321.0,13181.0,13195.0,13072.0,13500,13602.0,12957.0,13242,12564.0,11351.0,11221.0,10941.0,10740,10428.0,11036.0,11045.0,9859.0,10627.0,10052.0,10160.0,9791.0,9204.0,8577.0,9066.0,9199.0,8945.0,9952,8181.0,8502.0,8091.0,8140.0,9189.0,8480.0,8688.0,9469.0,9489.0,9413.0,9776.0,8848.0,9257,9461,9544,9740.0,10082.0,10857,10242,10265,10633.0,10685,10664.0,11109,11025,11424,11171,11801.0,11399,11242.0,11679,11652,12523,12300,12894.0,12393,12448.0,12700,11843,11969.0,12274.0,11686,11591.0,12062.0,13174,11938,12479.0,12720.0,13178.0,13051.0,14793.0
Odsherred,3275.0,3446.0,3366.0,3247.0,2945.0,3337.0,3274.0,3474.0,3421.0,3671.0,3412.0,3625.0,3770.0,3699.0,3642.0,3611.0,3524.0,3795.0,3848.0,4026.0,3971.0,4422.0,4422.0,4341.0,4420.0,4567.0,4817.0,4994.0,5000.0,5335.0,5177.0,5157.0,5296.0,5611.0,5519.0,5789.0,6185.0,6305.0,6057.0,6312.0,6605.0,6319.0,6497.0,6444.0,6990.0,7024.0,7243.0,7295.0,7526,7876.0,7322.0,7741,8495.0,8404,9280,8730,8896.0,10143.0,10947.0,10634.0,11317.0,12013.0,11665,10897.0,11027.0,11765,10746.0,10340.0,9966.0,9471.0,9048,8049.0,9316.0,8773.0,9434.0,8012.0,7806.0,6701.0,8804.0,7595.0,6623.0,6651.0,6920.0,6484.0,7140,6277.0,7172.0,6220.0,5914.0,6146.0,6575.0,6096.0,6011.0,6471.0,6137.0,6800.0,6300.0,7078,7230,6981,7171.0,7348.0,7607,7391,7656,7662.0,7893,7991.0,8248,8078,8116,8005,8737.0,9272,8647.0,8531,9924,9464,10827,9996.0,10961,10046.0,10799,9000,9805.0,9882.0,9598,9374.0,8791.0,9101,9373,9450.0,10939.0,10797.0,11245.0,10151.0
Ringsted,4088.0,4185.0,4285.0,4388.0,4350.0,4314.0,4432.0,4562.0,4360.0,4720.0,4048.0,4266.0,4878.0,4843.0,4594.0,5146.0,4795.0,5329.0,5079.0,5338.0,6117.0,6251.0,5993.0,5996.0,6230.0,6399.0,6094.0,6648.0,6995.0,7072.0,7262.0,7285.0,7338.0,7731.0,7886.0,8134.0,8129.0,8386.0,8259.0,9320.0,8158.0,8860.0,8576.0,8967.0,8841.0,9222.0,9264.0,9706.0,9107,9548.0,9836.0,10144,10658.0,10668,11568,12013,12995.0,15461.0,15919.0,14687.0,16121.0,15381.0,14635,15186.0,14364.0,16012,13830.0,12846.0,13481.0,13073.0,12372,11118.0,11818.0,12091.0,11947.0,11943.0,11422.0,10761.0,11736.0,10721.0,10945.0,10656.0,9942.0,9909.0,10310,9638.0,9786.0,9438.0,10979.0,10816.0,10781.0,10403.0,11512.0,11995.0,10990.0,10614.0,11083.0,12215,12279,11840,11946.0,13130.0,12379,12726,13576,12932.0,12952,13642.0,13251,13580,14086,14789,13083.0,12720,13883.0,14714,14210,15265,16558,15442.0,16143,15792.0,15586,14964,15915.0,15414.0,13759,14802.0,15803.0,14904,15843,15760.0,15745.0,18028.0,16422.0,17005.0
Slagelse,3590.0,3861.0,3707.0,3752.0,3770.0,3818.0,4079.0,4169.0,3938.0,4233.0,4089.0,3946.0,4105.0,4179.0,4272.0,4361.0,4257.0,4462.0,4603.0,4687.0,5002.0,5106.0,5088.0,4976.0,5291.0,5421.0,5576.0,5527.0,5674.0,5786.0,6002.0,5686.0,5860.0,6153.0,6448.0,6160.0,6912.0,6805.0,6704.0,6821.0,7233.0,7099.0,7152.0,6976.0,7197.0,7581.0,7577.0,7834.0,7981,8447.0,8259.0,7991,9886.0,9999,9965,11076,11255.0,11129.0,11824.0,12238.0,12179.0,12427.0,12679,12166.0,12990.0,12746,12449.0,11813.0,10800.0,11050.0,10326,10548.0,10296.0,9970.0,10414.0,9666.0,9317.0,10394.0,8892.0,8806.0,8647.0,9182.0,9080.0,7895.0,8407,8575.0,8583.0,9008.0,9081.0,8421.0,8170.0,8704.0,9043.0,9064.0,10355.0,8916.0,9186.0,9642,9439,9417,9347.0,10693.0,9850,10110,10674,9961.0,10299,10088.0,10867,10460,10506,10399,10081.0,10127,10636.0,10738,11419,11501,11752,11819.0,12305,12212.0,10895,11291,10931.0,11168.0,11220,11305.0,10935.0,11566,12375,11469.0,11690.0,12637.0,12298.0,12356.0
Sorø,4007.0,3655.0,3705.0,3640.0,3640.0,4502.0,3711.0,3662.0,4132.0,4272.0,3937.0,4152.0,4229.0,4353.0,4100.0,4255.0,4064.0,4556.0,4782.0,4488.0,5113.0,5676.0,5644.0,4932.0,5767.0,5720.0,5976.0,5711.0,6103.0,6327.0,6635.0,6276.0,7401.0,6985.0,6871.0,7036.0,7223.0,7487.0,7372.0,7511.0,7816.0,7884.0,7863.0,8098.0,8762.0,8528.0,8147.0,8644.0,8332,8631.0,9512.0,8460,9054.0,10004,10200,10498,10941.0,12314.0,12514.0,12508.0,11384.0,13074.0,13861,13686.0,13186.0,13943,12773.0,12143.0,11227.0,9137.0,10515,11066.0,11703.0,11387.0,10420.0,10628.0,9572.0,11637.0,10473.0,9498.0,9733.0,9384.0,7836.0,9603.0,9376,9736.0,9028.0,7781.0,8054.0,9558.0,8785.0,8447.0,9918.0,9453.0,9040.0,8811.0,8652.0,9499,10276,9011,10091.0,10935.0,10108,9992,10454,10513.0,11871,10775.0,10708,11286,10232,12032,10716.0,10695,10189.0,11269,11537,10917,12454,11645.0,12319,12708.0,13683,9777,11859.0,11719.0,12724,10238.0,12787.0,11981,12450,14000.0,12679.0,13262.0,12349.0,11906.0
Stevns,3762.0,3685.0,3740.0,3676.0,3698.0,3815.0,4019.0,3918.0,3856.0,3737.0,3558.0,4066.0,3712.0,4226.0,4447.0,4569.0,4712.0,4581.0,4851.0,4970.0,4969.0,5476.0,5477.0,5732.0,6162.0,6147.0,6240.0,6352.0,6832.0,6863.0,7043.0,6494.0,7292.0,7045.0,7704.0,7456.0,7315.0,7523.0,8410.0,8099.0,7757.0,7901.0,8148.0,7865.0,7936.0,8188.0,8277.0,8121.0,8540,9326.0,9301.0,9081,9962.0,11115,10506,11091,12087.0,13207.0,15226.0,14642.0,14875.0,14470.0,14414,14379.0,13853.0,13822,13449.0,11679.0,9231.0,11770.0,12046,10114.0,10023.0,10796.0,10695.0,9300.0,8300.0,9071.0,9809.0,9077.0,8503.0,9650.0,8817.0,8872.0,7814,8263.0,8874.0,8374.0,9112.0,7770.0,8942.0,9359.0,10254.0,9881.0,9917.0,9487.0,10552.0,9914,10288,10727,11144.0,11129.0,9509,10223,11913,11734.0,11519,12125.0,11676,12709,12144,11989,12149.0,12182,12666.0,11828,13076,14750,14087,13188.0,15653,13396.0,13278,12468,14311.0,12497.0,12759,12322.0,13106.0,14564,12487,12916.0,13396.0,14414.0,14441.0,14628.0
Vordingborg,3503.0,3300.0,3129.0,3268.0,3284.0,3116.0,3543.0,3383.0,3374.0,3496.0,3513.0,3397.0,3576.0,3696.0,3596.0,3559.0,3605.0,3853.0,3741.0,3930.0,4165.0,4180.0,4440.0,4395.0,4513.0,4790.0,4543.0,4657.0,4868.0,5005.0,5250.0,5047.0,5265.0,5566.0,5715.0,5700.0,5635.0,6011.0,5935.0,6285.0,6257.0,6338.0,6475.0,6569.0,7089.0,6562.0,6748.0,6647.0,6913,7326.0,7883.0,7717,7858.0,7639,8643,8245,8599.0,9725.0,10131.0,10002.0,10900.0,10777.0,11007,11022.0,10865.0,10654,10144.0,8969.0,8844.0,8899.0,8297,8609.0,9138.0,8368.0,8215.0,8007.0,7405.0,7856.0,7221.0,7299.0,6224.0,7376.0,6418.0,6692.0,5891,6007.0,6184.0,5672.0,5699.0,6261.0,5869.0,5697.0,6090.0,6669.0,6740.0,6415.0,7059.0,6490,6706,7043,6778.0,7458.0,6788,6944,7816,7063.0,7376,7794.0,7047,8053,7579,8278,8094.0,8416,8411.0,8923,8437,9772,9634,9749.0,9214,9779.0,9765,8870,8012.0,8455.0,8996,8889.0,9249.0,8706,8909,9427.0,8900.0,8713.0,8856.0,9416.0
Assens,2953.0,2935.0,2983.0,2984.0,3138.0,2911.0,3208.0,3204.0,3000.0,3232.0,3576.0,3026.0,3202.0,3438.0,3374.0,3466.0,3753.0,3769.0,3733.0,4106.0,3975.0,4419.0,4413.0,4477.0,4538.0,4712.0,4949.0,4668.0,4907.0,5316.0,5203.0,4975.0,5199.0,5317.0,5563.0,5464.0,5034.0,5273.0,5575.0,5320.0,5027.0,5444.0,5798.0,5467.0,5442.0,5450.0,5486.0,5766.0,5746,5936.0,6072.0,6390,5775.0,6258,6484,6294,6888.0,7589.0,8077.0,8363.0,7275.0,8245.0,7982,8976.0,8986.0,8821,8581.0,8728.0,8573.0,8520.0,8592,8016.0,8322.0,7862.0,8293.0,8040.0,8336.0,7349.0,7839.0,7045.0,6895.0,6929.0,7025.0,6417.0,6920,7273.0,6199.0,6578.0,6490.0,7010.0,6390.0,6288.0,6896.0,7386.0,6633.0,6598.0,7024.0,6688,6767,6934,7319.0,7066.0,7391,6572,7366,7462.0,7271,7131.0,7167,7006,6645,7473,7371.0,7393,7700.0,7735,7951,8073,7998,7903.0,8688,7921.0,8084,8174,7906.0,8303.0,7144,7397.0,7981.0,7889,8440,8023.0,7870.0,8932.0,7839.0,8004.0
Faaborg-Midtfyn,2870.0,3242.0,3124.0,3292.0,3040.0,3089.0,3273.0,3407.0,3363.0,3384.0,3375.0,3450.0,3456.0,3396.0,3405.0,3719.0,3920.0,4134.0,3934.0,4057.0,4125.0,4310.0,4364.0,4511.0,4553.0,4828.0,4602.0,4792.0,4852.0,5156.0,4978.0,5301.0,4709.0,5404.0,5213.0,5216.0,5105.0,5778.0,5316.0,5112.0,5280.0,5501.0,5576.0,5428.0,5468.0,5381.0,5434.0,5523.0,5544,5575.0,6023.0,5694,5694.0,6320,6690,6510,6997.0,7538.0,7948.0,7155.0,7968.0,8452.0,8274,8877.0,8854.0,9659,9002.0,8660.0,8212.0,7931.0,8134,7916.0,7940.0,7715.0,8169.0,7958.0,7865.0,7745.0,6725.0,7313.0,7141.0,7687.0,7108.0,6509.0,7042,6985.0,7202.0,6735.0,6292.0,6721.0,6784.0,6568.0,7389.0,6922.0,7015.0,6123.0,6649.0,7133,7404,7377,6511.0,7068.0,7392,6661,7800,7769.0,7352,7617.0,7231,7784,7642,7969,7979.0,7670,7920.0,8017,7982,8791,8834,8051.0,8600,8507.0,8577,8054,7589.0,8516.0,8777,7895.0,8396.0,8602,9003,9509.0,8767.0,9389.0,8688.0,8951.0
Kerteminde,3986.0,3879.0,3466.0,3416.0,4230.0,3820.0,4162.0,3767.0,4409.0,3997.0,4006.0,4212.0,4256.0,4118.0,4201.0,4273.0,4642.0,4949.0,4695.0,4298.0,5278.0,5400.0,5550.0,5273.0,6533.0,5825.0,5745.0,5808.0,5763.0,6953.0,6680.0,6410.0,6957.0,7188.0,7244.0,7110.0,6457.0,7295.0,6952.0,6149.0,6816.0,7407.0,6925.0,7174.0,6686.0,6899.0,7873.0,7153.0,7702,8182.0,7051.0,7580,7502.0,7765,8123,7859,8747.0,9927.0,9468.0,9310.0,10270.0,10877.0,11188,12413.0,10358.0,11263,10645.0,12053.0,9961.0,10655.0,9255,9812.0,9064.0,9026.0,10057.0,8889.0,9781.0,8715.0,9897.0,10567.0,8971.0,8986.0,9721.0,9609.0,8353,8871.0,8238.0,9886.0,7761.0,9318.0,8281.0,9099.0,8884.0,10942.0,9662.0,10000.0,9509.0,9979,10405,10113,9482.0,10212.0,10443,10314,9853,10220.0,10244,10220.0,9718,10675,11189,11738,10156.0,10927,10853.0,10975,11600,11824,11526,11789.0,11576,11042.0,11417,11720,13366.0,12167.0,11992,11013.0,10799.0,11678,12765,12046.0,12211.0,12443.0,12174.0,13847.0
Langeland,3008.0,2523.0,2324.0,2588.0,2572.0,2419.0,2515.0,2580.0,2781.0,2782.0,2906.0,2680.0,2611.0,2556.0,2696.0,2833.0,3010.0,3102.0,2609.0,2991.0,3014.0,3136.0,3173.0,3402.0,3591.0,3677.0,3562.0,3893.0,3961.0,3968.0,3427.0,3975.0,3969.0,3831.0,3652.0,3602.0,3647.0,3945.0,4370.0,3758.0,4090.0,4233.0,4221.0,3957.0,3948.0,4147.0,4118.0,4164.0,4688,4402.0,4146.0,4629,4824.0,4924,5345,5309,5873.0,6079.0,6187.0,6855.0,5818.0,6504.0,8351,7031.0,6445.0,7512,6789.0,6837.0,8048.0,6602.0,6447,6573.0,5413.0,5999.0,6623.0,5684.0,6087.0,5865.0,5546.0,6356.0,4434.0,5006.0,5607.0,4705.0,4715,5345.0,5209.0,4417.0,4371.0,5354.0,3658.0,5023.0,4108.0,4577.0,4438.0,4250.0,4673.0,4830,4667,4948,5126.0,5762.0,4402,5270,4605,5266.0,5234,5408.0,6802,5934,5844,4939,4371.0,5572,6057.0,5865,5890,5905,5980,6575.0,5734,6769.0,6162,5701,5044.0,5911.0,5790,5769.0,6746.0,7288,6349,5952.0,5507.0,6195.0,6102.0,7198.0
Middelfart,3418.0,3454.0,3541.0,3366.0,3691.0,3425.0,3712.0,3606.0,3639.0,3983.0,3598.0,3633.0,3952.0,4138.0,4330.0,4322.0,4541.0,4518.0,4484.0,4756.0,5096.0,4827.0,5061.0,5201.0,5578.0,5980.0,5500.0,5937.0,6323.0,6441.0,5926.0,6012.0,6570.0,6313.0,6588.0,6925.0,6716.0,6608.0,6984.0,6564.0,6687.0,6387.0,7032.0,6280.0,6771.0,7323.0,6953.0,6337.0,7057,7132.0,6428.0,7655,7999.0,8267,8195,8464,8960.0,8956.0,10378.0,10710.0,10184.0,11451.0,11883,12856.0,11827.0,12807,11380.0,11553.0,9456.0,10693.0,10493,11419.0,10528.0,11254.0,11046.0,10444.0,11580.0,10020.0,10421.0,9774.0,9514.0,10635.0,10032.0,9246.0,9523,8694.0,10253.0,10601.0,8846.0,9122.0,10038.0,9945.0,9513.0,10890.0,10498.0,9981.0,9571.0,10771,10570,10838,8970.0,10452.0,10522,11303,11692,10722.0,11350,11107.0,10779,11391,10816,11302,10506.0,10263,10687.0,11705,11913,12097,11838,11314.0,12396,13072.0,12243,11445,12667.0,12909.0,12423,12006.0,13368.0,11868,12921,14013.0,11202.0,13823.0,11000.0,13734.0
Nordfyns,2974.0,3234.0,3192.0,2893.0,2742.0,2969.0,3285.0,3132.0,3152.0,3345.0,3275.0,2914.0,3197.0,3375.0,3201.0,3600.0,3785.0,3851.0,4023.0,3958.0,4038.0,4350.0,4509.0,4756.0,4404.0,5156.0,5100.0,4929.0,5058.0,4979.0,4989.0,5390.0,5006.0,5081.0,5564.0,5218.0,5368.0,5300.0,5054.0,5099.0,5196.0,5353.0,5114.0,5241.0,5388.0,5546.0,5273.0,5078.0,5389,5602.0,5146.0,5967,6238.0,6068,6332,7070,6967.0,7427.0,7945.0,7823.0,7516.0,8749.0,8529,8532.0,9103.0,9392,8843.0,7599.0,8369.0,8543.0,7167,7632.0,8072.0,8043.0,7427.0,7048.0,7492.0,8127.0,7381.0,8115.0,7478.0,6850.0,7088.0,6461.0,5789,6553.0,5697.0,6678.0,6802.0,6225.0,6518.0,6594.0,6414.0,6687.0,8003.0,6577.0,6759.0,6917,6848,7088,7436.0,7459.0,7263,7634,7796,7517.0,7590,7517.0,7542,7257,7774,7529,7628.0,7953,7642.0,7764,8215,8040,8508,8868.0,8442,8481.0,8775,7895,8337.0,7892.0,8324,8345.0,8124.0,8354,8502,8061.0,8236.0,9076.0,8038.0,8088.0
Nyborg,3395.0,3370.0,3183.0,3271.0,3202.0,3383.0,3592.0,3534.0,3665.0,3979.0,3678.0,3423.0,3532.0,3553.0,3886.0,3993.0,4117.0,4001.0,4453.0,4187.0,4843.0,4616.0,4847.0,4746.0,5437.0,5252.0,5742.0,5742.0,5659.0,5344.0,5743.0,5699.0,5586.0,5870.0,5868.0,6257.0,5880.0,5881.0,6201.0,5894.0,6224.0,6044.0,6075.0,6628.0,6258.0,6282.0,6472.0,6532.0,6483,6716.0,7522.0,6835,7472.0,7606,7958,7208,7835.0,8439.0,8772.0,9285.0,8961.0,9368.0,9494,9683.0,9770.0,10417,9910.0,8780.0,9905.0,8611.0,9789,10486.0,9809.0,10326.0,9785.0,9955.0,8207.0,8840.0,8059.0,9045.0,9644.0,8185.0,7642.0,7854.0,7725,8521.0,8005.0,8108.0,8120.0,8513.0,7953.0,8744.0,8151.0,7812.0,8299.0,8185.0,7865.0,7757,7620,8752,7989.0,8654.0,9135,8259,9141,8827.0,9006,8555.0,9435,9725,9041,9138,9384.0,9398,9164.0,9593,9940,9757,9575,9736.0,10276,9576.0,10177,10551,9133.0,10141.0,8984,10026.0,10642.0,10465,10572,10215.0,9796.0,10443.0,10119.0,10335.0
Odense,4331.0,4448.0,4388.0,4324.0,4199.0,4288.0,4549.0,4541.0,4822.0,4818.0,4768.0,4886.0,5006.0,5038.0,5330.0,5259.0,5458.0,5701.0,5857.0,5964.0,6227.0,6285.0,6511.0,6713.0,6852.0,7139.0,7446.0,7401.0,7204.0,7367.0,7477.0,7512.0,7161.0,7434.0,7418.0,7577.0,7719.0,7704.0,7556.0,7586.0,7741.0,7844.0,7649.0,7793.0,7610.0,7662.0,7929.0,7954.0,8237,8731.0,8858.0,9094,9576.0,10011,10822,11553,12581.0,13018.0,13144.0,13960.0,14144.0,14431.0,14056,14348.0,14198.0,14608,14124.0,13298.0,12508.0,12907.0,12617,12730.0,12815.0,13075.0,12844.0,13182.0,12904.0,12640.0,12272.0,12030.0,11734.0,12351.0,12290.0,12004.0,12202,12343.0,12595.0,12330.0,12388.0,12771.0,12702.0,12726.0,13042.0,13329.0,13641.0,13242.0,13795.0,13451,14368,14094,13855.0,14721.0,13867,14497,14883,15271.0,14875,15431.0,15294,15787,15980,16084,16237.0,15677,15880.0,16662,16861,17746,18268,18182.0,18223,18491.0,17761,16655,16769.0,17439.0,17959,18588.0,17904.0,17674,17955,18183.0,18768.0,17923.0,19669.0,19106.0
