kommune,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4,2002K1,2002K2,2002K3,2002K4,2003K1,2003K2,2003K3,2003K4,2004K1,2004K2,2004K3,2004K4,2005K1,2005K2,2005K3,2005K4,2006K1,2006K2,2006K3,2006K4,2007K1,2007K2,2007K3,2007K4,2008K1,2008K2,2008K3,2008K4,2009K1,2009K2,2009K3,2009K4,2010K1,2010K2,2010K3,2010K4,2011K1,2011K2,2011K3,2011K4,2012K1,2012K2,2012K3,2012K4,2013K1,2013K2,2013K3,2013K4,2014K1,2014K2,2014K3,2014K4,2015K1,2015K2,2015K3,2015K4,2016K1,2016K2,2016K3,2016K4,2017K1,2017K2,2017K3,2017K4,2018K1,2018K2,2018K3,2018K4,2019K1,2019K2,2019K3,2019K4,2020K1,2020K2,2020K3,2020K4,2021K1,2021K2,2021K3,2021K4,2022K1,2022K2,2022K3,2022K4,2023K1,2023K2,2023K3,2023K4,2024K1,2024K2,2024K3,2024K4,2025K1,2025K2,2025K3,2025K4
Halsnæs,4298.0,4140.0,4115.0,4321.0,3919.0,4240.0,4349.0,4199.0,4452.0,4294.0,4397.0,4247.0,4224.0,4618.0,4892.0,4657.0,4973.0,5201.0,5091.0,5765.0,5675.0,5995.0,6335.0,6360.0,6351.0,6978.0,6700.0,7336.0,7111.0,7103.0,7716.0,8238.0,8200.0,8273.0,8630.0,8466.0,8769.0,8714.0,8815.0,9191.0,9770.0,9559.0,10170.0,9255.0,9456.0,10344.0,10271.0,10477.0,10833,10731.0,11036.0,11595,11488.0,12721,13367,14239,15117.0,16337.0,17675.0,17946.0,17978.0,18020.0,17053,16873.0,16331.0,16249,14471.0,12197.0,11630.0,11785.0,10992,11903.0,11965.0,11399.0,10426.0,11351.0,10616.0,9654.0,10396.0,9044.0,9526.0,9652.0,9747.0,10524.0,9259,9668.0,10496.0,9492.0,9159.0,8993.0,9347.0,8358.0,9674.0,9600.0,10389.0,9833.0,10303.0,10796,10249,11001,11386.0,12299.0,11744,11540,12040,12701.0,12474,12922.0,13108,12883,12812,13226,13010.0,13096,13908.0,14766,14975,15620,16622,16535.0,16138,16988.0,16442,15686,15306.0,15322.0,14993,15048.0,15882.0,16996,16339,15404.0,16742.0,16926.0,17579.0,18383.0
Helsingør,5751.0,5406.0,5590.0,5235.0,5221.0,5193.0,5683.0,5745.0,5530.0,6061.0,6158.0,6173.0,5873.0,5840.0,6198.0,6662.0,6545.0,7351.0,7755.0,8066.0,8091.0,8322.0,8495.0,8025.0,8460.0,9596.0,9085.0,9514.0,10816.0,10875.0,10812.0,11219.0,10864.0,10787.0,11520.0,11943.0,12148.0,12805.0,12815.0,12911.0,13456.0,13412.0,13215.0,13809.0,12971.0,13921.0,14739.0,13711.0,14624,15108.0,15571.0,15597,17589.0,18553,20745,22501,22889.0,24310.0,25763.0,25974.0,25499.0,24177.0,24234,22593.0,24184.0,20943,21134.0,19238.0,16177.0,16394.0,17979,18491.0,17968.0,18223.0,19083.0,18023.0,19118.0,17613.0,18011.0,16775.0,17650.0,16634.0,16728.0,18639.0,16361,15801.0,16563.0,16999.0,16367.0,17134.0,17504.0,17668.0,17797.0,18981.0,19095.0,18583.0,19120.0,19597,19721,20157,19748.0,20228.0,21677,21567,20698,21597.0,21518,21730.0,21790,22065,22845,22210,22152.0,22801,24794.0,24507,26285,26709,29744,29118.0,29465,30848.0,28036,26390,26923.0,27170.0,27943,27924.0,28785.0,27366,28298,30612.0,31053.0,30742.0,31115.0,32357.0
Hillerød,4847.0,5632.0,5688.0,5528.0,5075.0,5405.0,5453.0,5130.0,5592.0,5713.0,5677.0,6022.0,5582.0,6125.0,6504.0,6508.0,6394.0,7498.0,7169.0,7784.0,7562.0,7694.0,8536.0,8175.0,8395.0,8425.0,9000.0,9112.0,9215.0,9646.0,9824.0,9842.0,10065.0,10212.0,10358.0,10762.0,10918.0,12259.0,11759.0,12291.0,11820.0,12482.0,12018.0,12369.0,11078.0,13386.0,12788.0,13230.0,13386,13562.0,14169.0,14386,15085.0,16887,17515,19605,19969.0,21098.0,22046.0,23098.0,23400.0,22256.0,21880,21767.0,19425.0,20166,20302.0,17223.0,16490.0,15648.0,16889,15012.0,16150.0,17247.0,17345.0,17584.0,18176.0,16711.0,16766.0,15759.0,15524.0,15943.0,14355.0,15319.0,15730,15271.0,15043.0,16019.0,15803.0,15985.0,16327.0,16347.0,16136.0,17708.0,17463.0,16825.0,17296.0,18340,18839,17887,19019.0,18587.0,19139,19792,20410,20148.0,19878,20353.0,20189,21312,21055,21517,21175.0,21397,22101.0,22513,23875,24744,25260,25407.0,24345,25605.0,25634,23464,25611.0,24438.0,25217,25635.0,24265.0,25633,26092,26501.0,27493.0,27768.0,28510.0,28813.0
Hørsholm,7363.0,7870.0,7416.0,7743.0,7276.0,7641.0,7448.0,7430.0,7930.0,7981.0,8761.0,9391.0,8502.0,8879.0,8609.0,9289.0,9494.0,9794.0,10865.0,10128.0,10857.0,10357.0,11369.0,11094.0,12162.0,11843.0,11693.0,12999.0,13022.0,13206.0,14047.0,13784.0,13869.0,15024.0,14942.0,14836.0,15201.0,15428.0,16247.0,16443.0,16292.0,16983.0,15863.0,15855.0,16985.0,17266.0,17702.0,17470.0,17787,17881.0,19894.0,20411,22124.0,23384,26076,26339,27976.0,32193.0,33216.0,33972.0,30980.0,29850.0,29276,28268.0,28742.0,27256,25555.0,25117.0,19488.0,21513.0,20945,24340.0,23278.0,24450.0,25188.0,24939.0,24169.0,25345.0,23808.0,22646.0,22506.0,22667.0,23460.0,23133.0,24811,22537.0,23406.0,23125.0,25888.0,24534.0,25014.0,23770.0,25387.0,25929.0,25402.0,25679.0,25477.0,26157,27813,27239,27386.0,28948.0,28771,27600,28724,29700.0,29526,28829.0,28988,28801,30753,30715,30458.0,30272,33291.0,32648,37023,40120,41604,41144.0,40054,40186.0,38096,35595,36967.0,35074.0,38525,38610.0,38857.0,38018,42283,40054.0,41540.0,42080.0,46192.0,42745.0
Rudersdal,7295.0,7075.0,6677.0,6596.0,6897.0,7181.0,7111.0,7549.0,7433.0,7588.0,7343.0,7759.0,7882.0,8593.0,8578.0,8762.0,9098.0,9179.0,9787.0,9279.0,10475.0,10837.0,11243.0,11626.0,11436.0,12210.0,11950.0,12623.0,12549.0,13361.0,13578.0,13787.0,13890.0,14582.0,15035.0,15164.0,16012.0,16389.0,16613.0,16871.0,16806.0,16463.0,16913.0,16609.0,16351.0,16979.0,17089.0,17070.0,18178,18438.0,19681.0,20110,21630.0,23619,25616,27028,29363.0,34424.0,32412.0,33064.0,31694.0,32689.0,31199,31261.0,28855.0,29171,28588.0,23290.0,22837.0,22920.0,23861,25424.0,25443.0,26817.0,25855.0,26929.0,25839.0,26389.0,24649.0,23323.0,24263.0,23940.0,24588.0,24272.0,24989,25061.0,26105.0,26069.0,25905.0,25326.0,26377.0,25360.0,26768.0,27876.0,28412.0,28628.0,27973.0,28266,27624,28812,28926.0,29605.0,29977,30353,29265,31887.0,31413,30815.0,32019,32644,33355,32508,33033.0,34494,35880.0,36363,38119,41061,44112,43941.0,46197,44641.0,42371,39151,38021.0,39308.0,42099,41814.0,40834.0,42142,41942,43945.0,44523.0,46259.0,47506.0,48931.0
Bornholm,,,,,,,,,,,,,,,,,3396.0,3155.0,3644.0,3353.0,3784.0,3610.0,3712.0,3792.0,3713.0,3756.0,3751.0,3821.0,3930.0,4069.0,3854.0,4082.0,3981.0,4074.0,4083.0,4264.0,4165.0,4478.0,4349.0,4218.0,4554.0,4647.0,4502.0,4548.0,4728.0,5002.0,4764.0,5089.0,5186,5128.0,5256.0,5553,5119.0,5821,5538,5802,6230.0,6907.0,7304.0,6976.0,7227.0,8047.0,8072,7828.0,7655.0,8137,7934.0,7512.0,7227.0,7312.0,7105,7249.0,7294.0,7432.0,6578.0,7614.0,6537.0,6604.0,6437.0,5848.0,5608.0,5411.0,5264.0,5745.0,5511,5473.0,5043.0,5045.0,5425.0,5437.0,5426.0,5070.0,4992.0,6012.0,5439.0,5550.0,5872.0,5974,5975,6508,6238.0,6284.0,6799,6701,7001,7212.0,7304,6831.0,6870,7580,7517,6913,7298.0,7444,7924.0,8396,9165,10122,9797,10176.0,10145,9633.0,10159,9593,9690.0,9137.0,9537,9943.0,9466.0,9993,10389,9947.0,9270.0,9585.0,10336.0,11309.0
Greve,5402.0,5544.0,5686.0,5545.0,5505.0,5477.0,5591.0,5661.0,6070.0,6297.0,6529.0,6186.0,6439.0,6597.0,6835.0,6899.0,7437.0,7533.0,7959.0,7914.0,8650.0,8679.0,8896.0,8902.0,9558.0,9691.0,9387.0,9837.0,10110.0,10476.0,10818.0,10759.0,10698.0,10895.0,11541.0,11603.0,11784.0,12441.0,12196.0,12252.0,12716.0,12973.0,12690.0,12566.0,13417.0,13129.0,13273.0,13272.0,13864,13716.0,14870.0,14899,15340.0,16372,18459,19279,21815.0,21985.0,22393.0,22770.0,21586.0,22052.0,21956,20182.0,20491.0,19633,19006.0,16572.0,16056.0,15984.0,15811,16670.0,16963.0,17301.0,17543.0,16200.0,17481.0,16683.0,16502.0,16018.0,15186.0,16013.0,15990.0,15750.0,15960,16054.0,16475.0,16522.0,16296.0,16805.0,17064.0,17187.0,16514.0,17707.0,18515.0,18226.0,18594.0,20184,20062,19574,19520.0,20468.0,20494,20272,20841,21292.0,22039,21401.0,21176,22632,22868,21827,23516.0,22644,23059.0,23689,25095,26373,26971,27032.0,28008,28032.0,27649,24584,23360.0,24348.0,25846,26537.0,27027.0,26322,26786,27535.0,27193.0,27982.0,29396.0,30402.0
Køge,4822.0,5157.0,5185.0,4813.0,4603.0,5151.0,5098.0,4826.0,5093.0,4855.0,4938.0,5154.0,5326.0,5420.0,5780.0,5887.0,6084.0,6219.0,6834.0,6568.0,7009.0,7232.0,7725.0,7346.0,7498.0,8334.0,8247.0,8390.0,8663.0,8906.0,8718.0,9482.0,9157.0,9453.0,9731.0,10358.0,10577.0,10578.0,10120.0,10554.0,10901.0,10806.0,10887.0,11602.0,10887.0,11094.0,11631.0,11783.0,12054,12198.0,12340.0,12438,12916.0,13701,14433,15659,17008.0,17775.0,19178.0,19095.0,19187.0,19789.0,18169,17743.0,18512.0,17943,16712.0,16048.0,14286.0,15063.0,14384,14469.0,14451.0,14158.0,14835.0,14623.0,14103.0,13216.0,13061.0,12027.0,12044.0,12912.0,13340.0,13735.0,13183,12879.0,12281.0,13359.0,13561.0,13647.0,13736.0,13411.0,13841.0,14709.0,15079.0,14504.0,14435.0,15778,16231,15306,16107.0,17006.0,16922,16656,18719,18544.0,17573,17646.0,18673,18206,18480,18858,18701.0,18481,19318.0,20045,20173,22351,21281,22152.0,21169,22599.0,22124,21185,20118.0,20844.0,21059,21818.0,21598.0,22147,22101,22856.0,22838.0,24300.0,24597.0,24117.0
Lejre,4608.0,5226.0,4935.0,4739.0,4487.0,4814.0,4671.0,5341.0,5232.0,5002.0,5223.0,5494.0,5162.0,5157.0,5410.0,6090.0,5736.0,6646.0,6317.0,6309.0,6682.0,7495.0,7299.0,7148.0,7722.0,7728.0,7610.0,8021.0,8215.0,8538.0,8715.0,8840.0,8948.0,9264.0,8893.0,9491.0,9573.0,9064.0,9745.0,9707.0,9751.0,10588.0,9972.0,10121.0,11274.0,10526.0,11144.0,11493.0,10863,11554.0,11086.0,11789,12050.0,13435,13663,13866,14363.0,16475.0,17552.0,17699.0,18592.0,16326.0,17371,18128.0,16132.0,17552,16138.0,15280.0,13486.0,12686.0,13228,12920.0,13382.0,13104.0,11853.0,13198.0,12597.0,10751.0,10575.0,11966.0,11559.0,10306.0,11348.0,10672.0,9382,10880.0,11296.0,10279.0,11219.0,11541.0,11918.0,12486.0,13426.0,12754.0,13203.0,12272.0,13224.0,13560,13545,13181,14042.0,14353.0,14679,13414,14597,14601.0,15303,14402.0,14248,16060,15789,16060,15972.0,15148,15374.0,15338,17003,17181,17366,18700.0,17633,19059.0,17777,18834,16769.0,17187.0,17489,17429.0,16043.0,17404,19509,19270.0,18494.0,19012.0,19086.0,20066.0
Roskilde,5129.0,5251.0,5201.0,5113.0,4887.0,5135.0,5588.0,5472.0,5634.0,5450.0,5557.0,5661.0,5813.0,5964.0,6151.0,6454.0,7009.0,7015.0,7029.0,7530.0,7615.0,8012.0,8125.0,8629.0,8072.0,8833.0,9070.0,9505.0,9753.0,10172.0,9856.0,10644.0,10788.0,10563.0,11292.0,11049.0,11470.0,11776.0,12093.0,11649.0,12275.0,12676.0,12823.0,12037.0,12833.0,12428.0,12895.0,12975.0,13694,13505.0,14393.0,15127,15095.0,15997,17350,19192,20554.0,22979.0,23304.0,24207.0,22551.0,23479.0,23556,21303.0,21222.0,20833,20199.0,19192.0,16323.0,15794.0,16583,16764.0,17271.0,17657.0,17490.0,17436.0,17909.0,17788.0,17244.0,16973.0,16332.0,16599.0,16408.0,16596.0,16405,17915.0,17584.0,17304.0,18246.0,17506.0,17203.0,16843.0,19386.0,19739.0,18446.0,18881.0,19350.0,19583,19442,19975,20236.0,20887.0,20017,21615,22203,20872.0,21340,21529.0,20916,22136,22824,21780,21817.0,22708,23211.0,24382,25207,25911,26687,26813.0,27473,27503.0,27256,27041,25778.0,26304.0,26247,25787.0,27185.0,26044,26660,28213.0,29117.0,28447.0,29961.0,32407.0
